Date, Open, High, Low, Close, Volume,Name
12/31/2024,42300,42763,41532,42100,709877,ANG
12/30/2024,43480,43480,42122,42389,718421,ANG
12/27/2024,44520,44585,42818,43242,1189958,ANG
12/24/2024,43250,44179,43250,43757,197456,ANG
12/23/2024,43420,44519,42972,43177,1121526,ANG
12/20/2024,43040,43720,42443,43276,2533660,ANG
12/19/2024,42900,43267,42342,43040,3119299,ANG
12/18/2024,43300,44080,43269,43526,816338,ANG
12/17/2024,44001,45339,42873,42996,1887567,ANG
12/13/2024,46050,46412,44994,45170,1161337,ANG
12/12/2024,47875,48733,46669,47117,3645044,ANG
12/11/2024,45900,47550,45714,47550,3200848,ANG
12/10/2024,45943,46442,45136,46140,1673500,ANG
12/9/2024,45030,47151,45030,46474,1380317,ANG
12/6/2024,46400,46810,44800,45241,858178,ANG
12/5/2024,46048,47257,45900,46400,7100019,ANG
12/4/2024,47000,47662,46605,46640,1852356,ANG
12/3/2024,45104,46822,45104,46822,1281166,ANG
12/2/2024,44916,45505,44500,44850,702736,ANG
11/29/2024,45200,46000,45012,45220,1368627,ANG
11/28/2024,45000,45518,44870,45185,2126684,ANG
11/27/2024,46350,46763,45752,46147,2218153,ANG
11/26/2024,45408,46110,45233,45991,2146888,ANG
11/25/2024,46300,46878,45390,45959,4199927,ANG
11/22/2024,45700,47900,45700,47002,3537414,ANG
11/21/2024,44919,47295,44540,44540,12431430,ANG
11/20/2024,45570,46159,44450,44852,2335854,ANG
11/19/2024,44788,46331,44779,45520,2269204,ANG
11/18/2024,44110,45293,44003,44665,1510047,ANG
11/15/2024,43284,44083,43005,44076,1216158,ANG
11/14/2024,43126,43799,42113,42582,1948898,ANG
11/13/2024,44500,45117,44211,44342,1483632,ANG
11/12/2024,45000,45285,43552,43856,2527930,ANG
11/11/2024,48000,48742,45868,45901,985231,ANG
11/8/2024,47600,48845,47407,47935,802658,ANG
11/7/2024,45884,48747,45534,48228,3125593,ANG
11/6/2024,47301,48110,45055,45784,1949809,ANG
11/5/2024,47500,48175,47192,48111,2881037,ANG
11/4/2024,48900,48900,47546,48073,856879,ANG
11/1/2024,49125,50165,48860,49036,1167828,ANG
10/31/2024,50268,50854,48670,48988,2264552,ANG
10/30/2024,51801,53500,50372,50986,2309379,ANG
10/29/2024,51161,51742,50714,51484,1830080,ANG
10/28/2024,51900,52483,51083,51714,1476789,ANG
10/25/2024,53075,53272,51845,52578,877816,ANG
10/24/2024,54138,54824,52817,53189,1698394,ANG
10/23/2024,54767,55128,53580,54185,1318852,ANG
10/22/2024,54500,54801,53766,54691,3258047,ANG
10/21/2024,53501,54757,53448,54145,1616012,ANG
10/18/2024,52959,53708,51871,52793,2612083,ANG
10/17/2024,49525,52182,49525,52169,2123496,ANG
10/16/2024,49049,49900,48978,49570,3355780,ANG
10/15/2024,47431,48380,47156,48306,1404390,ANG
10/14/2024,47708,47809,47187,47417,570094,ANG
10/11/2024,47052,48150,47052,47237,1982439,ANG
10/10/2024,45580,47139,45240,47120,2310118,ANG
10/9/2024,44500,45274,44406,45274,739228,ANG
10/8/2024,44900,45489,44000,44652,1818119,ANG
10/7/2024,45500,46200,45251,45386,1467378,ANG
10/4/2024,46090,46623,45348,46202,1149386,ANG
