Date, Open, High, Low, Close, Volume,Name
12/31/2024,478.8,478.8,478.8,478.8,18282,DANGCEM
12/30/2024,478.8,478.8,478.8,478.8,222452,DANGCEM
12/27/2024,478.8,478.8,478.8,478.8,42378,DANGCEM
12/24/2024,478.8,478.8,478.8,478.8,30485,DANGCEM
12/23/2024,478.8,478.8,478.8,478.8,57978,DANGCEM
12/20/2024,478.8,478.8,478.8,478.8,116493,DANGCEM
12/19/2024,478.8,478.8,478.8,478.8,5346624,DANGCEM
12/18/2024,478.8,478.8,478.8,478.8,217666,DANGCEM
12/17/2024,478.8,478.8,478.8,478.8,61225,DANGCEM
12/16/2024,478.8,478.8,478.8,478.8,24919,DANGCEM
12/13/2024,478.8,478.8,478.8,478.8,35973,DANGCEM
12/12/2024,478.8,478.8,478.8,478.8,13688,DANGCEM
12/11/2024,478.8,478.8,478.8,478.8,8894,DANGCEM
12/10/2024,478.8,478.8,478.8,478.8,11439,DANGCEM
12/9/2024,478.8,478.8,478.8,478.8,33729,DANGCEM
12/6/2024,478.8,478.8,478.8,478.8,6540,DANGCEM
12/5/2024,478.8,478.8,478.8,478.8,4034,DANGCEM
12/4/2024,478.8,478.8,478.8,478.8,11458,DANGCEM
12/3/2024,478.8,478.8,478.8,478.8,45080,DANGCEM
12/2/2024,478.8,478.8,478.8,478.8,11796,DANGCEM
11/29/2024,478.8,478.8,478.8,478.8,67623,DANGCEM
11/28/2024,478.8,478.8,478.8,478.8,36881,DANGCEM
11/27/2024,478.8,478.8,478.8,478.8,3781,DANGCEM
11/26/2024,478.8,478.8,478.8,478.8,24121,DANGCEM
11/25/2024,478.8,478.8,478.8,478.8,68025,DANGCEM
11/22/2024,478.8,478.8,478.8,478.8,22920,DANGCEM
11/21/2024,478.8,478.8,478.8,478.8,58244,DANGCEM
11/20/2024,478.8,478.8,478.8,478.8,91368,DANGCEM
11/19/2024,478.8,478.8,478.8,478.8,114583,DANGCEM
11/18/2024,478.8,478.8,478.8,478.8,14472,DANGCEM
11/15/2024,478.8,478.8,478.8,478.8,98370,DANGCEM
11/14/2024,478.8,478.8,478.8,478.8,104022,DANGCEM
11/13/2024,478.8,478.8,478.8,478.8,13462,DANGCEM
11/12/2024,478.8,478.8,478.8,478.8,4834,DANGCEM
11/11/2024,478.8,478.8,478.8,478.8,4851,DANGCEM
11/8/2024,478.8,478.8,478.8,478.8,10969,DANGCEM
11/7/2024,478.8,478.8,478.8,478.8,10186,DANGCEM
11/6/2024,478.8,478.8,478.8,478.8,8198,DANGCEM
11/5/2024,478.8,478.8,478.8,478.8,12154,DANGCEM
11/4/2024,478.8,478.8,478.8,478.8,33751,DANGCEM
11/1/2024,478.8,478.8,478.8,478.8,34426,DANGCEM
10/31/2024,478.8,478.8,478.8,478.8,32307,DANGCEM
10/30/2024,478.8,478.8,478.8,478.8,7218,DANGCEM
10/29/2024,478.8,478.8,478.8,478.8,9349,DANGCEM
10/28/2024,478.8,478.8,478.8,478.8,17720,DANGCEM
10/25/2024,478.8,478.8,478.8,478.8,21773,DANGCEM
10/24/2024,478.8,478.8,478.8,478.8,23696,DANGCEM
10/23/2024,478.8,478.8,478.8,478.8,17552,DANGCEM
10/22/2024,478.8,478.8,478.8,478.8,8954,DANGCEM
10/21/2024,478.8,478.8,478.8,478.8,16738,DANGCEM
10/18/2024,478.8,478.8,478.8,478.8,2087,DANGCEM
10/17/2024,478.8,478.8,478.8,478.8,2244,DANGCEM
10/16/2024,478.8,478.8,478.8,478.8,6673,DANGCEM
10/15/2024,478.8,478.8,478.8,478.8,9785,DANGCEM
10/14/2024,478.8,478.8,478.8,478.8,17738,DANGCEM
10/11/2024,478.8,478.8,478.8,478.8,10076,DANGCEM
10/10/2024,478.8,478.8,478.8,478.8,10316,DANGCEM
10/9/2024,478.8,478.8,478.8,478.8,15018,DANGCEM
10/8/2024,478.8,478.8,478.8,478.8,14953,DANGCEM
10/7/2024,478.8,478.8,478.8,478.8,39148,DANGCEM
10/4/2024,478.8,478.8,478.8,478.8,340319,DANGCEM
10/3/2024,478.8,478.8,478.8,478.8,154499,DANGCEM
10/2/2024,532,532,532,532,182377,DANGCEM
9/30/2024,532,532,532,532,3583,DANGCEM
9/27/2024,532,532,532,532,124428,DANGCEM
9/26/2024,532,532,532,532,67311,DANGCEM
9/25/2024,532,532,532,532,18007,DANGCEM
9/24/2024,532,532,532,532,28873,DANGCEM
9/23/2024,532,532,532,532,28500,DANGCEM
9/20/2024,532,532,532,532,23280,DANGCEM
9/19/2024,532,532,532,532,6028,DANGCEM
9/18/2024,532,532,532,532,52576,DANGCEM
9/17/2024,532,532,532,532,30468,DANGCEM
9/13/2024,532,532,532,532,105859,DANGCEM
9/12/2024,532,532,532,532,90891,DANGCEM
9/11/2024,532,532,532,532,82167,DANGCEM
9/10/2024,532,532,532,532,16469,DANGCEM
9/9/2024,532,532,532,532,18577,DANGCEM
9/6/2024,532,532,532,532,23932,DANGCEM
9/5/2024,532,532,532,532,23786,DANGCEM
9/4/2024,532,532,532,532,6882,DANGCEM
9/3/2024,532,532,532,532,5059,DANGCEM
9/2/2024,532,532,532,532,33705,DANGCEM
8/30/2024,532,532,532,532,30701,DANGCEM
8/29/2024,532,532,532,532,22862,DANGCEM
8/28/2024,532,532,532,532,42965,DANGCEM
8/27/2024,532,532,532,532,36636,DANGCEM
8/26/2024,532,532,532,532,35230,DANGCEM
8/23/2024,532,532,532,532,11083,DANGCEM
8/22/2024,532,532,532,532,6751,DANGCEM
8/21/2024,532,532,532,532,11710,DANGCEM
8/20/2024,532,532,532,532,87730,DANGCEM
8/19/2024,532,532,532,532,246246,DANGCEM
8/16/2024,591.1,591.1,591.1,591.1,11863,DANGCEM
8/15/2024,591.1,591.1,591.1,591.1,2292,DANGCEM
8/14/2024,591.1,591.1,591.1,591.1,26240,DANGCEM
8/13/2024,591.1,591.1,591.1,591.1,6549,DANGCEM
8/12/2024,591.1,591.1,591.1,591.1,10746,DANGCEM
8/9/2024,591.1,591.1,591.1,591.1,3550,DANGCEM
8/8/2024,591.1,591.1,591.1,591.1,6970,DANGCEM
8/7/2024,591.1,591.1,591.1,591.1,29562,DANGCEM
8/6/2024,591.1,591.1,591.1,591.1,67519,DANGCEM
8/5/2024,591.1,591.1,591.1,591.1,11721,DANGCEM
8/2/2024,591.1,591.1,591.1,591.1,33718,DANGCEM
8/1/2024,591.1,591.1,591.1,591.1,6601,DANGCEM
7/31/2024,591.1,591.1,591.1,591.1,6768,DANGCEM
7/30/2024,591.1,591.1,591.1,591.1,74716,DANGCEM
7/29/2024,591.1,591.1,591.1,591.1,84568,DANGCEM
7/26/2024,591.1,591.1,591.1,591.1,498298,DANGCEM
7/25/2024,656.7,656.7,656.7,656.7,91030,DANGCEM
7/24/2024,656.7,656.7,656.7,656.7,92649,DANGCEM
7/23/2024,656.7,656.7,656.7,656.7,110860,DANGCEM
7/22/2024,656.7,656.7,656.7,656.7,4879,DANGCEM
7/19/2024,656.7,656.7,656.7,656.7,3415,DANGCEM
7/18/2024,656.7,656.7,656.7,656.7,20673,DANGCEM
7/17/2024,656.7,656.7,656.7,656.7,6596,DANGCEM
7/16/2024,656.7,656.7,656.7,656.7,24561,DANGCEM
7/15/2024,656.7,656.7,656.7,656.7,59667,DANGCEM
7/12/2024,656.7,656.7,656.7,656.7,57082,DANGCEM
7/11/2024,656.7,656.7,656.7,656.7,120445,DANGCEM
7/10/2024,656.7,656.7,656.7,656.7,8564,DANGCEM
7/9/2024,656.7,656.7,656.7,656.7,10258,DANGCEM
7/8/2024,656.7,656.7,656.7,656.7,29018,DANGCEM
7/5/2024,656.7,656.7,656.7,656.7,4319,DANGCEM
7/4/2024,656.7,656.7,656.7,656.7,6895,DANGCEM
7/3/2024,656.7,656.7,656.7,656.7,8427,DANGCEM
7/2/2024,656.7,656.7,656.7,656.7,5483,DANGCEM
7/1/2024,656.7,656.7,656.7,656.7,20245,DANGCEM
6/28/2024,656.7,656.7,656.7,656.7,11057,DANGCEM
6/27/2024,656.7,656.7,656.7,656.7,203956,DANGCEM
6/26/2024,656.7,656.7,656.7,656.7,4723,DANGCEM
6/25/2024,656.7,656.7,656.7,656.7,4200,DANGCEM
6/24/2024,656.7,656.7,656.7,656.7,5280,DANGCEM
6/21/2024,656.7,656.7,656.7,656.7,5595,DANGCEM
6/20/2024,656.7,656.7,656.7,656.7,8127,DANGCEM
6/19/2024,656.7,656.7,656.7,656.7,59999,DANGCEM
6/14/2024,656.7,656.7,656.7,656.7,6601,DANGCEM
6/13/2024,656.7,656.7,656.7,656.7,19404,DANGCEM
6/11/2024,656.7,656.7,656.7,656.7,17038,DANGCEM
6/10/2024,656.7,656.7,656.7,656.7,12887,DANGCEM
6/7/2024,656.7,656.7,656.7,656.7,9584,DANGCEM
6/6/2024,656.7,656.7,656.7,656.7,16169,DANGCEM
6/5/2024,656.7,656.7,656.7,656.7,10118,DANGCEM
6/4/2024,656.7,656.7,656.7,656.7,7292,DANGCEM
6/3/2024,656.7,656.7,656.7,656.7,12655,DANGCEM
5/31/2024,656.7,656.7,656.7,656.7,28281,DANGCEM
5/30/2024,656.7,656.7,656.7,656.7,6503,DANGCEM
5/29/2024,656.7,656.7,656.7,656.7,4207,DANGCEM
5/28/2024,656.7,656.7,656.7,656.7,4521,DANGCEM
5/27/2024,656.7,656.7,656.7,656.7,6662,DANGCEM
5/24/2024,656.7,656.7,656.7,656.7,4488,DANGCEM
5/23/2024,656.7,656.7,656.7,656.7,17399,DANGCEM
5/22/2024,656.7,656.7,656.7,656.7,10244,DANGCEM
5/21/2024,656.7,656.7,656.7,656.7,12211,DANGCEM
5/20/2024,656.7,656.7,656.7,656.7,15797,DANGCEM
5/17/2024,656.7,656.7,656.7,656.7,4360,DANGCEM
5/16/2024,656.7,656.7,656.7,656.7,3539,DANGCEM
5/15/2024,656.7,656.7,656.7,656.7,2557,DANGCEM
