Date, Open, High, Low, Close, Volume,Name
12/31/2024,415085,421000,414151,417322,175425,NPN
12/30/2024,424801,426468,414256,415085,293255,NPN
12/27/2024,428661,430047,424394,424710,210096,NPN
12/24/2024,427500,431405,427047,427500,73401,NPN
12/23/2024,423194,429540,422018,429106,392436,NPN
12/20/2024,437300,443310,422000,422000,2269254,NPN
12/19/2024,443333,449356,432310,433100,1453807,NPN
12/18/2024,444655,448740,435782,437390,519589,NPN
12/17/2024,440000,447400,439515,444557,494397,NPN
12/13/2024,432000,451570,431594,444298,385829,NPN
12/12/2024,441550,445000,436467,437559,478177,NPN
12/11/2024,433018,440107,432502,436061,292649,NPN
12/10/2024,436888,439261,432554,436950,329279,NPN
12/9/2024,443999,448501,436504,443023,475722,NPN
12/6/2024,444887,444887,437836,441216,660020,NPN
12/5/2024,431997,442995,431367,439000,370649,NPN
12/4/2024,426700,432960,426700,431059,309330,NPN
12/3/2024,431888,435789,426513,429099,500740,NPN
12/2/2024,409100,431442,409012,426999,543507,NPN
11/29/2024,403600,410500,401204,406800,451557,NPN
11/28/2024,412671,414348,407650,407650,242270,NPN
11/27/2024,413869,417500,410293,412671,312935,NPN
11/26/2024,405880,414027,404100,412000,188627,NPN
11/25/2024,400001,409765,399001,408800,1533825,NPN
11/22/2024,406000,409200,400100,405870,267941,NPN
11/21/2024,411000,414989,408672,409532,358055,NPN
11/20/2024,414698,417995,410250,411000,438596,NPN
11/19/2024,414000,416000,409298,410811,357229,NPN
11/18/2024,417000,423318,411744,413778,411679,NPN
11/15/2024,413899,416500,410219,410811,274594,NPN
11/14/2024,412400,417600,408400,414033,450999,NPN
11/13/2024,410000,421342,402321,409395,499941,NPN
11/12/2024,409499,414852,404356,411376,302904,NPN
11/11/2024,405000,414473,402561,410344,347152,NPN
11/8/2024,410400,416361,405502,408323,295756,NPN
11/7/2024,417100,424840,413002,414328,426273,NPN
11/6/2024,420150,425154,407600,415219,433642,NPN
11/5/2024,421400,424895,419100,423446,384213,NPN
11/4/2024,423658,423658,415846,418000,409412,NPN
11/1/2024,422851,426000,420154,421631,348184,NPN
10/31/2024,413550,421988,413237,414417,517734,NPN
10/30/2024,425000,428102,417397,421647,437414,NPN
10/29/2024,421800,431899,421287,430142,354727,NPN
10/28/2024,419501,424986,419104,423824,352253,NPN
10/25/2024,412810,424301,412810,422142,272824,NPN
10/24/2024,414900,417664,412415,412810,213015,NPN
10/23/2024,421600,421600,413727,417681,263666,NPN
10/22/2024,413260,416519,408182,416519,424101,NPN
10/21/2024,415999,419600,412330,414181,318188,NPN
10/18/2024,421100,424497,418927,418927,523519,NPN
10/17/2024,411588,414420,408543,408543,250463,NPN
10/16/2024,411700,415828,406612,412992,421907,NPN
10/15/2024,411800,413969,407618,410000,525996,NPN
10/14/2024,417501,427862,417501,424906,346949,NPN
10/11/2024,421000,422032,418125,419920,418864,NPN
10/10/2024,430000,431800,421080,422065,425581,NPN
10/9/2024,420000,428351,418437,427797,451558,NPN
10/8/2024,424700,428190,414000,427150,804018,NPN
10/7/2024,431814,445430,431814,442000,533209,NPN
10/4/2024,441400,445639,432955,433092,437766,NPN
10/3/2024,440000,441990,431500,437193,499713,NPN
10/2/2024,445000,447000,437794,438334,557932,NPN
10/1/2024,417999,428800,416268,423718,601665,NPN
9/30/2024,426900,427151,419490,419490,718424,NPN
9/27/2024,415500,422933,414632,421983,594556,NPN
9/26/2024,402750,420550,402750,417480,767341,NPN
9/25/2024,380100,392544,380000,391377,889302,NPN
9/23/2024,365900,369900,361381,368106,381403,NPN
9/20/2024,366900,370000,359631,367897,1902400,NPN
9/19/2024,360000,367718,357000,367447,1114560,NPN
9/18/2024,354718,356327,349720,352500,288109,NPN
9/17/2024,348651,356254,348651,353782,320203,NPN
9/16/2024,353900,353900,346639,347800,339652,NPN
9/13/2024,351800,352742,347741,350898,408298,NPN
9/12/2024,357640,357640,350733,351300,347743,NPN
9/11/2024,355200,357857,350595,352286,299648,NPN
9/10/2024,354173,357481,352285,353081,271978,NPN
9/9/2024,354077,357466,352505,354928,240716,NPN
9/6/2024,363978,363978,353612,353612,350608,NPN
9/5/2024,360376,364699,358102,364149,411727,NPN
9/4/2024,360958,367000,358050,360000,473455,NPN
9/3/2024,364326,368031,363269,364225,243204,NPN
9/2/2024,366100,367945,363767,364326,209974,NPN
8/30/2024,362716,369305,362716,367775,727765,NPN
8/29/2024,361118,362904,356718,359356,241088,NPN
8/28/2024,361000,366636,358870,359678,305708,NPN
8/27/2024,362300,366483,362269,364414,277239,NPN
8/26/2024,372111,372896,360172,362346,329923,NPN
8/23/2024,369508,372700,367200,370000,255295,NPN
8/22/2024,369000,374816,368546,369365,187781,NPN
8/21/2024,362299,369000,362299,367450,196486,NPN
8/20/2024,365005,366458,361739,362054,435147,NPN
8/19/2024,368899,368899,363275,365012,303005,NPN
8/16/2024,367000,371998,364216,366791,337547,NPN
8/15/2024,361409,367487,360321,365100,393446,NPN
8/14/2024,364900,379398,360434,361409,710046,NPN
8/13/2024,371500,372522,366110,369317,424803,NPN
8/12/2024,361513,370240,361511,369597,501506,NPN
8/8/2024,353000,359896,348684,358840,617316,NPN
8/7/2024,344150,350444,341204,350444,422611,NPN
8/6/2024,344781,344781,334003,339356,492384,NPN
8/5/2024,336600,346417,331876,344781,593946,NPN
8/2/2024,342377,344534,337518,341451,430304,NPN
8/1/2024,353000,355940,346520,347115,222837,NPN
7/31/2024,353000,356394,351051,352221,520491,NPN
7/30/2024,342700,349500,340800,347047,353917,NPN
7/29/2024,348297,348867,343377,343377,247503,NPN
7/26/2024,346649,347992,343457,344537,287307,NPN
7/25/2024,341000,346160,338100,345004,436399,NPN
7/24/2024,346944,349000,344507,346870,307833,NPN
7/23/2024,350941,352842,348001,348817,306760,NPN
7/22/2024,348555,354900,348555,353044,281448,NPN
7/19/2024,348600,351457,343001,343602,270424,NPN
7/18/2024,354004,357218,348150,351430,637079,NPN
7/17/2024,350000,355155,350000,350638,481482,NPN
7/16/2024,362990,362990,352065,352500,462797,NPN
7/15/2024,364001,366699,361322,366699,773511,NPN
7/12/2024,360839,368613,358900,367311,387521,NPN
7/11/2024,354700,356774,351157,355616,336624,NPN
7/10/2024,352975,354758,349816,350524,477807,NPN
7/9/2024,356210,361259,351850,353113,407262,NPN
7/8/2024,348701,355909,348701,355058,426848,NPN
7/5/2024,353771,356173,350500,351000,402586,NPN
7/4/2024,353100,357815,352868,353445,481853,NPN
7/3/2024,357200,360150,352007,352007,1039404,NPN
7/2/2024,346900,350848,345114,349476,460579,NPN
7/1/2024,357500,357851,345500,346691,616703,NPN
6/28/2024,355000,358700,354207,356722,537061,NPN
6/27/2024,354700,358439,352289,355740,492364,NPN
6/26/2024,356600,364750,356600,358182,673213,NPN
6/25/2024,369000,369563,354315,356462,723621,NPN
6/24/2024,358500,374059,358209,368448,870605,NPN
6/21/2024,369000,371701,358913,358913,2518721,NPN
6/20/2024,378900,379718,370100,370311,1909054,NPN
6/19/2024,380000,382850,375176,379487,482948,NPN
6/18/2024,375000,378196,367739,374656,559348,NPN
6/14/2024,387600,389115,372585,373694,555222,NPN
6/13/2024,391834,393578,384715,384715,516040,NPN
6/12/2024,381000,392094,379345,390328,492384,NPN
6/11/2024,385500,385500,378076,382091,345731,NPN
6/10/2024,380050,385117,377654,384507,302142,NPN
6/7/2024,385300,390837,380487,384894,315747,NPN
6/6/2024,386500,393328,385432,391127,284283,NPN
6/5/2024,384489,388806,381744,385969,542566,NPN
6/4/2024,382600,386850,379259,382500,453276,NPN
6/3/2024,383750,387250,379631,380000,437121,NPN
5/31/2024,375835,377827,371200,372833,1867927,NPN
5/30/2024,372110,384499,370504,380829,568639,NPN
5/28/2024,392000,392883,383904,384607,415732,NPN
5/27/2024,388169,394713,387535,391232,319002,NPN
5/24/2024,389094,393478,378785,390169,452396,NPN
5/23/2024,389776,398310,389085,390725,559413,NPN
5/22/2024,391500,394801,385000,389849,565441,NPN
5/21/2024,387995,402000,384502,393840,775113,NPN
5/20/2024,391081,395305,390488,393439,344079,NPN
5/17/2024,405800,405800,390800,390800,716887,NPN
5/16/2024,400669,408454,400026,407484,355618,NPN
5/15/2024,400000,403100,397861,402403,621582,NPN
5/14/2024,388000,405731,384545,400000,749334,NPN
5/13/2024,380001,387801,379154,385100,467470,NPN
5/10/2024,377999,381110,375505,377122,285075,NPN
5/9/2024,375502,380085,372637,378000,441035,NPN
5/8/2024,374999,374999,364584,370926,388393,NPN
5/7/2024,371051,376701,371051,372742,387567,NPN
5/6/2024,379000,381708,375119,375119,552108,NPN
5/3/2024,372466,380633,372123,375873,490289,NPN
5/2/2024,366003,374713,365938,370000,491415,NPN
4/30/2024,361721,365728,360663,360737,585031,NPN
4/29/2024,363000,365049,359772,361721,394007,NPN
4/26/2024,365000,368329,360088,362461,353946,NPN
4/25/2024,363911,365263,354001,357513,371439,NPN
4/24/2024,366777,371445,365250,367560,644702,NPN
4/23/2024,350000,363000,349678,359854,781973,NPN
4/22/2024,336555,344326,336555,343179,491656,NPN
4/19/2024,320543,325790,317429,325739,507037,NPN
4/18/2024,324499,325099,319466,323746,473777,NPN
4/17/2024,323200,324387,319766,320146,466961,NPN
4/16/2024,324068,327561,318262,320689,527481,NPN
4/15/2024,331920,334869,328449,328449,335996,NPN
4/12/2024,333729,339000,331602,333040,435285,NPN
4/11/2024,340000,342190,331324,336200,355354,NPN
4/10/2024,334449,341992,333250,337106,366280,NPN
4/9/2024,334500,335195,327359,327443,401616,NPN
4/8/2024,334800,338500,332995,336134,410476,NPN
4/5/2024,332176,336265,331101,335706,340303,NPN
4/4/2024,335000,338881,334311,334620,357389,NPN
4/3/2024,333500,338500,333500,335000,428851,NPN
4/2/2024,339029,340000,335036,336170,528678,NPN
3/28/2024,333400,338305,330187,335755,375700,NPN
3/27/2024,327777,332416,326668,330163,483284,NPN
3/26/2024,319635,324577,318455,323558,459533,NPN
3/25/2024,309871,316000,309123,312500,532491,NPN
3/22/2024,311500,315996,309100,309526,696168,NPN
3/20/2024,310550,314106,304556,311591,1497808,NPN
3/19/2024,308999,308999,304347,307439,592359,NPN
3/18/2024,306400,313349,306400,309539,887830,NPN
3/15/2024,304214,307408,301900,305763,1955773,NPN
3/14/2024,308704,311150,307609,308965,548304,NPN
3/13/2024,306001,309900,304048,308846,657119,NPN
3/12/2024,303661,307506,301850,305983,934072,NPN
3/11/2024,302001,303000,295454,296364,529122,NPN
3/8/2024,301999,301999,294852,297089,421436,NPN
3/7/2024,292500,300754,292500,297264,429951,NPN
3/6/2024,300749,303266,297811,300029,652896,NPN
3/5/2024,302299,302299,294252,294652,694753,NPN
3/4/2024,314000,314999,304497,304497,284605,NPN
3/1/2024,315300,317231,310840,312128,353698,NPN
2/29/2024,320628,321835,313714,315514,882684,NPN
2/28/2024,323800,323800,316725,316725,281916,NPN
2/27/2024,329785,330432,324301,325120,312223,NPN
2/26/2024,327901,334155,327901,332620,260375,NPN
2/23/2024,330301,337200,330301,334751,242851,NPN
2/22/2024,328300,334956,326766,333915,265661,NPN
2/21/2024,325000,327677,321355,327306,417737,NPN
2/20/2024,323700,326006,319557,321358,284593,NPN
2/19/2024,327500,331070,324806,328623,322430,NPN
2/16/2024,333508,334799,330000,330537,518990,NPN
2/15/2024,328000,332465,325143,329608,391762,NPN
2/14/2024,338300,338852,328912,330008,516708,NPN
2/13/2024,346070,346070,337019,337019,412825,NPN
2/12/2024,342669,344461,340100,343295,293580,NPN
2/9/2024,338217,346482,338217,342778,420643,NPN
2/8/2024,336800,341316,334056,337693,391703,NPN
2/7/2024,338900,345950,338900,342333,445098,NPN
2/6/2024,332800,339170,332100,337829,681649,NPN
2/5/2024,326400,329536,322664,325676,424085,NPN
2/2/2024,323800,328200,322328,326400,564229,NPN
2/1/2024,308000,318230,308000,317729,379512,NPN
1/31/2024,315500,316857,310998,313724,562700,NPN
1/30/2024,312500,319670,310181,318559,347707,NPN
1/29/2024,321150,322716,318300,318300,381099,NPN
1/26/2024,315014,321837,310462,321554,446101,NPN
1/25/2024,324500,326000,316855,317250,639357,NPN
1/24/2024,305000,319660,301669,319000,882988,NPN
1/23/2024,299400,303000,296308,303000,664698,NPN
1/22/2024,283747,290422,283000,289950,391264,NPN
1/19/2024,285100,294403,285100,292559,336037,NPN
1/18/2024,287800,291999,286432,289892,387857,NPN
1/17/2024,285100,290552,283000,284821,572148,NPN
1/16/2024,295000,297245,290500,290924,376767,NPN
1/15/2024,299334,300984,295241,297821,251993,NPN
1/12/2024,300804,300804,296739,299234,227430,NPN
1/11/2024,300000,304146,298654,300150,451854,NPN
1/10/2024,297000,301122,292193,293126,516805,NPN
1/9/2024,303024,303946,297636,298683,284539,NPN
1/8/2024,305050,306363,300000,304050,236195,NPN
1/5/2024,308902,309405,305334,307954,266891,NPN
1/4/2024,306100,314358,306100,312804,404669,NPN
1/3/2024,303003,314754,303003,308718,336830,NPN
1/2/2024,307900,313208,302039,305012,330166,NPN
12/29/2023,307400,312890,302930,312800,284463,NPN
12/28/2023,307300,307300,301673,302934,313595,NPN
12/27/2023,300488,311052,290900,300623,911670,NPN
12/22/2023,289000,290000,267330,274235,1017931,NPN
12/21/2023,330000,335095,326200,333200,882769,NPN
12/20/2023,330020,336000,327744,330000,250538,NPN
12/19/2023,330897,336500,329672,332701,308021,NPN
12/18/2023,327503,335558,327214,329204,577042,NPN
12/14/2023,343059,344849,337333,337913,1385654,NPN
12/13/2023,338798,346999,335001,343059,355892,NPN
12/12/2023,345000,348827,340174,340458,310652,NPN
12/11/2023,335600,344132,335519,343572,356922,NPN
12/8/2023,336818,343716,336808,338500,441076,NPN
12/7/2023,336250,341671,334792,338426,397574,NPN
12/6/2023,343500,344702,339382,339382,310262,NPN
12/5/2023,341400,342156,337494,342156,421890,NPN
12/4/2023,336800,350000,335090,347800,489853,NPN
12/1/2023,343900,346241,336586,338795,292455,NPN
11/30/2023,344500,354000,344500,347355,2051293,NPN
11/29/2023,340232,345075,338341,342963,410802,NPN
11/28/2023,338000,345900,338000,344000,604176,NPN
11/27/2023,345000,346300,339947,339947,284367,NPN
11/24/2023,340501,345000,340100,344449,180711,NPN
11/23/2023,342750,349860,341448,345467,407131,NPN
