Date, Open, High, Low, Close, Volume,Name
12/31/2024,8264,8378,8146,8327,1325685,SOL
12/30/2024,8260,8300,7970,8155,3477119,SOL
12/27/2024,8310,8548,8139,8265,2231551,SOL
12/24/2024,8400,8512,8286,8305,900287,SOL
12/23/2024,8460,8583,8299,8322,2103652,SOL
12/20/2024,8440,8528,8129,8333,4582248,SOL
12/19/2024,8645,8645,8349,8405,6369739,SOL
12/18/2024,8819,8846,8610,8697,1649809,SOL
12/17/2024,8850,8948,8515,8761,3054427,SOL
12/13/2024,9139,9244,8861,8861,2641869,SOL
12/12/2024,8920,9256,8900,9214,2487819,SOL
12/11/2024,9350,9406,8800,8888,2693892,SOL
12/10/2024,9328,9430,9239,9280,2071556,SOL
12/9/2024,8902,9350,8902,9341,3188285,SOL
12/6/2024,9050,9168,8966,9038,1537770,SOL
12/5/2024,9058,9234,9000,9138,1872929,SOL
12/4/2024,9050,9323,8911,9164,1768616,SOL
12/3/2024,9168,9444,8961,8966,4087197,SOL
12/2/2024,8900,9065,8816,9000,4153595,SOL
11/29/2024,8977,9020,8762,8787,2627540,SOL
11/28/2024,9128,9223,8878,8935,2293934,SOL
11/27/2024,9350,9350,9055,9128,2545568,SOL
11/26/2024,9410,9452,9161,9295,2031270,SOL
11/25/2024,9655,9886,9450,9457,4056923,SOL
11/22/2024,9620,9832,9613,9791,1861954,SOL
11/21/2024,9697,9734,9503,9675,2355232,SOL
11/20/2024,9350,9675,9155,9675,2519942,SOL
11/19/2024,9650,9770,9276,9300,2560492,SOL
11/18/2024,9507,9643,9315,9622,1539769,SOL
11/15/2024,9350,9528,9250,9507,2078900,SOL
11/14/2024,9735,9794,9022,9351,4479051,SOL
11/13/2024,9655,9700,9500,9651,2760031,SOL
11/12/2024,9771,9836,9510,9557,2568988,SOL
11/11/2024,10013,10099,9719,9767,2098344,SOL
11/8/2024,10701,10705,9960,9970,2248188,SOL
11/7/2024,10590,10820,10487,10612,1992567,SOL
11/6/2024,10444,10569,10270,10412,2346096,SOL
11/5/2024,10550,10794,10358,10589,3122091,SOL
11/4/2024,10233,10548,10159,10494,1931402,SOL
11/1/2024,10028,10495,9974,10233,3303775,SOL
10/31/2024,10000,10101,9793,9818,2414765,SOL
10/30/2024,10195,10285,9855,9948,3185400,SOL
10/29/2024,10060,10297,9899,10205,3243537,SOL
10/28/2024,10017,10450,9826,10036,4293288,SOL
10/25/2024,10625,10758,10181,10497,2643546,SOL
10/24/2024,10386,11284,10386,10575,3746317,SOL
10/23/2024,10850,11030,10310,10392,5060393,SOL
10/22/2024,11152,11336,10622,10812,5193533,SOL
10/21/2024,11541,11943,11298,11385,2894321,SOL
10/18/2024,11345,11762,11327,11530,2276665,SOL
10/17/2024,11432,11487,11128,11338,1849274,SOL
10/16/2024,11254,11500,11111,11393,3122396,SOL
10/15/2024,11744,11744,11090,11220,4249367,SOL
10/14/2024,11925,11999,11765,11870,1391758,SOL
10/11/2024,12025,12293,11880,12000,1361940,SOL
10/10/2024,11825,12118,11616,12052,3063474,SOL
10/9/2024,12215,12215,11655,11655,2964150,SOL
10/8/2024,12400,12680,12100,12216,3800507,SOL
10/7/2024,12514,12682,12010,12535,4014427,SOL
10/4/2024,12618,13061,12468,12665,3652771,SOL
10/3/2024,12164,12600,12100,12571,4598162,SOL
10/2/2024,11903,12217,11800,12120,5565779,SOL
10/1/2024,11650,11977,11402,11694,3342463,SOL
9/30/2024,11555,11747,11342,11605,3987125,SOL
9/27/2024,11550,11692,11303,11439,4473153,SOL
9/26/2024,12300,12410,11326,11387,8557475,SOL
9/25/2024,12505,12889,12066,12293,3829102,SOL
9/23/2024,12200,12401,11950,12305,1812019,SOL
9/20/2024,12675,12700,12000,12000,5359604,SOL
9/19/2024,12598,13050,12598,12721,4323699,SOL
9/18/2024,12600,12628,12138,12455,2079648,SOL
9/17/2024,12650,12799,12431,12627,1980027,SOL
9/16/2024,12400,12632,12219,12460,2185801,SOL
9/13/2024,11950,12530,11916,12390,3170115,SOL
9/12/2024,11910,12106,11715,11970,3773216,SOL
9/11/2024,12150,12274,11670,11670,4812647,SOL
9/10/2024,12424,12581,12151,12221,1396403,SOL
9/9/2024,12700,12832,12353,12400,2186259,SOL
9/6/2024,12900,13102,12658,12684,1808883,SOL
9/5/2024,12866,13172,12630,12935,2125899,SOL
9/4/2024,12720,12943,12658,12866,2711249,SOL
9/3/2024,13420,13535,12676,12747,2276583,SOL
9/2/2024,13600,13875,13400,13416,1588920,SOL
8/30/2024,14325,14444,13636,13758,2739767,SOL
8/29/2024,14230,14527,14150,14310,1339567,SOL
8/28/2024,14500,14650,14050,14265,2000292,SOL
8/27/2024,14572,14989,14441,14510,1655079,SOL
8/26/2024,14894,14954,14379,14794,1643405,SOL
8/23/2024,14400,14995,14268,14788,1923584,SOL
8/22/2024,13566,14621,13492,14410,4018220,SOL
8/21/2024,13140,13625,12999,13557,2931471,SOL
8/20/2024,13215,13859,12825,12863,3209692,SOL
8/19/2024,13665,13941,13241,13753,1741145,SOL
8/16/2024,13535,14000,13418,13665,3573249,SOL
8/15/2024,13000,13692,13000,13525,3813017,SOL
8/14/2024,12825,13319,12705,13048,1940725,SOL
8/13/2024,12825,12825,12442,12825,2386026,SOL
8/12/2024,12543,12932,12223,12850,2527684,SOL
8/8/2024,13284,13284,12853,13023,2650138,SOL
8/7/2024,13490,13490,13111,13284,2090913,SOL
8/6/2024,13450,13652,13094,13239,2698434,SOL
8/5/2024,12900,13381,12411,13300,3302886,SOL
8/2/2024,14500,14586,13398,13398,3256063,SOL
8/1/2024,14750,15020,14551,14723,1683615,SOL
7/31/2024,14489,14755,14489,14735,2490807,SOL
7/30/2024,14332,14489,14020,14394,2058870,SOL
7/29/2024,14555,14726,14188,14300,2350367,SOL
7/26/2024,14196,14624,14153,14178,1853178,SOL
7/25/2024,14075,14340,13888,14320,1788269,SOL
7/24/2024,14833,14850,14301,14409,2346870,SOL
7/23/2024,14680,15050,14427,14899,3219720,SOL
7/22/2024,13730,14564,13350,14540,3367721,SOL
7/19/2024,13699,13699,13141,13643,1503875,SOL
7/18/2024,13355,13700,13337,13533,4766859,SOL
7/17/2024,13329,13524,13018,13413,4549622,SOL
7/16/2024,13190,13554,13000,13263,3356682,SOL
7/15/2024,13700,13704,12973,13140,4327631,SOL
7/12/2024,13872,13933,13636,13666,1368651,SOL
7/11/2024,13800,13903,13432,13703,1208322,SOL
7/10/2024,14150,14273,13666,13666,2467456,SOL
7/9/2024,14200,14511,14169,14260,1553466,SOL
7/8/2024,14500,14676,14128,14284,1254160,SOL
7/5/2024,14820,14936,14435,14500,1672705,SOL
7/4/2024,14500,14949,14376,14821,2194307,SOL
7/3/2024,13800,14658,13782,14506,2466222,SOL
7/2/2024,13925,14079,13517,13843,2357657,SOL
7/1/2024,13500,14726,13500,13909,2499705,SOL
6/28/2024,13500,13949,13467,13810,1984099,SOL
6/27/2024,13548,13598,13219,13487,1493376,SOL
6/26/2024,13800,13949,13388,13539,1471789,SOL
6/25/2024,14000,14000,13505,13606,1657196,SOL
6/24/2024,13500,14030,13339,13850,2457054,SOL
6/21/2024,13663,13725,13286,13531,5110523,SOL
6/20/2024,13548,13762,13172,13441,6616790,SOL
6/19/2024,12950,13332,12802,13164,3206412,SOL
6/18/2024,11900,12837,11900,12802,3848514,SOL
6/14/2024,11800,11955,11503,11596,3629207,SOL
6/13/2024,12000,12015,11654,11764,2400016,SOL
6/12/2024,11900,12224,11833,12015,1975854,SOL
6/11/2024,11955,12034,11701,11899,1362368,SOL
6/10/2024,12340,12340,11803,12002,1059691,SOL
6/7/2024,12024,12155,11843,12155,1618593,SOL
6/6/2024,11977,12359,11771,12001,2094533,SOL
6/5/2024,11800,11955,11722,11825,2899682,SOL
6/4/2024,11600,11689,11036,11600,4908452,SOL
6/3/2024,12366,12510,11525,11600,3896432,SOL
5/31/2024,12405,12623,12315,12410,3455632,SOL
5/30/2024,12450,12697,11936,12350,4250579,SOL
5/28/2024,12990,13100,12166,12543,3109491,SOL
5/27/2024,13150,13286,12958,12990,1709700,SOL
5/24/2024,13034,13277,12850,13150,1405352,SOL
5/23/2024,13343,13343,13030,13058,2110034,SOL
5/22/2024,13461,13548,13213,13343,1555297,SOL
5/21/2024,13236,13510,13096,13450,2442027,SOL
5/20/2024,13349,13727,13288,13384,3065186,SOL
5/17/2024,13250,13498,12937,13300,3958001,SOL
5/16/2024,13359,13676,13194,13200,2571009,SOL
5/15/2024,13450,13488,13136,13283,2252614,SOL
5/14/2024,13803,13803,13200,13275,2001970,SOL
5/13/2024,13650,13975,13518,13803,1481837,SOL
5/10/2024,13330,13783,13259,13710,1929231,SOL
