Date, Open, High, Low, Close, Volume,Name
12/31/2024,57,57,57,57,10979880,GTCO
12/30/2024,57,57,57,57,54676520,GTCO
12/27/2024,57,57,57,57,22880369,GTCO
12/24/2024,57.95,57.95,57.95,57.95,17417420,GTCO
12/23/2024,58.75,58.75,58.75,58.75,39382301,GTCO
12/20/2024,57,57,57,57,23512580,GTCO
12/19/2024,54,54,54,54,20407359,GTCO
12/18/2024,52.95,52.95,52.95,52.95,11133710,GTCO
12/17/2024,52.5,52.5,52.5,52.5,8198270,GTCO
12/16/2024,52,52,52,52,8334721,GTCO
12/13/2024,52.95,52.95,52.95,52.95,5610026,GTCO
12/12/2024,53,53,53,53,2184892,GTCO
12/11/2024,53,53,53,53,5812737,GTCO
12/10/2024,53,53,53,53,4556575,GTCO
12/9/2024,53.2,53.2,53.2,53.2,24487301,GTCO
12/6/2024,53.2,53.2,53.2,53.2,12688630,GTCO
12/5/2024,52.75,52.75,52.75,52.75,40184480,GTCO
12/4/2024,52.65,52.65,52.65,52.65,26034240,GTCO
12/3/2024,52.5,52.5,52.5,52.5,18163160,GTCO
12/2/2024,52.5,52.5,52.5,52.5,20916221,GTCO
11/29/2024,52.95,52.95,52.95,52.95,3532313,GTCO
11/28/2024,53,53,53,53,4026766,GTCO
11/27/2024,53,53,53,53,28748090,GTCO
11/26/2024,53,53,53,53,7274602,GTCO
11/25/2024,52.75,52.75,52.75,52.75,4339031,GTCO
11/22/2024,54.6,54.6,54.6,54.6,4331971,GTCO
11/21/2024,54.6,54.6,54.6,54.6,4660479,GTCO
11/20/2024,56,56,56,56,3380639,GTCO
11/19/2024,56,56,56,56,13486560,GTCO
11/18/2024,55.35,55.35,55.35,55.35,3159594,GTCO
11/15/2024,56,56,56,56,12170560,GTCO
11/14/2024,54.5,54.5,54.5,54.5,7419781,GTCO
11/13/2024,54.2,54.2,54.2,54.2,14728610,GTCO
11/12/2024,53.65,53.65,53.65,53.65,15685160,GTCO
11/11/2024,53.6,53.6,53.6,53.6,11589650,GTCO
11/8/2024,53.6,53.6,53.6,53.6,22460279,GTCO
11/7/2024,53.5,53.5,53.5,53.5,12957440,GTCO
11/6/2024,54.05,54.05,54.05,54.05,2766019,GTCO
11/5/2024,55.1,55.1,55.1,55.1,20056301,GTCO
11/4/2024,55.1,55.1,55.1,55.1,21477510,GTCO
11/1/2024,55.3,55.3,55.3,55.3,22470580,GTCO
10/31/2024,53.7,53.7,53.7,53.7,7733530,GTCO
10/30/2024,53.3,53.3,53.3,53.3,11615820,GTCO
10/29/2024,50.6,50.6,50.6,50.6,7133099,GTCO
10/28/2024,50.9,50.9,50.9,50.9,2149028,GTCO
10/25/2024,52,52,52,52,4988449,GTCO
10/24/2024,53,53,53,53,24199410,GTCO
10/23/2024,52.5,52.5,52.5,52.5,4529857,GTCO
10/22/2024,52.5,52.5,52.5,52.5,4717463,GTCO
10/21/2024,51,51,51,51,9025820,GTCO
10/18/2024,50,50,50,50,9753695,GTCO
10/17/2024,50,50,50,50,19631539,GTCO
10/16/2024,52,52,52,52,16739420,GTCO
10/15/2024,51.5,51.5,51.5,51.5,5733032,GTCO
10/14/2024,49.9,49.9,49.9,49.9,4333568,GTCO
10/11/2024,49,49,49,49,10187410,GTCO
10/10/2024,47.95,47.95,47.95,47.95,2746568,GTCO
10/9/2024,47.2,47.2,47.2,47.2,10299580,GTCO
10/8/2024,47.2,47.2,47.2,47.2,8813335,GTCO
10/7/2024,49,49,49,49,16030200,GTCO
10/4/2024,49.1,49.1,49.1,49.1,2768210,GTCO
10/3/2024,48.7,48.7,48.7,48.7,3988327,GTCO
10/2/2024,47.85,47.85,47.85,47.85,4596295,GTCO
9/30/2024,48,48,48,48,2881197,GTCO
9/27/2024,47.4,47.4,47.4,47.4,7057902,GTCO
9/26/2024,46.5,46.5,46.5,46.5,10237160,GTCO
9/25/2024,47.35,47.35,47.35,47.35,8442961,GTCO
9/24/2024,46.95,46.95,46.95,46.95,4897896,GTCO
9/23/2024,46.9,46.9,46.9,46.9,5096014,GTCO
9/20/2024,47.5,47.5,47.5,47.5,7051646,GTCO
9/19/2024,46.25,46.25,46.25,46.25,14755640,GTCO
9/18/2024,46.4,46.4,46.4,46.4,5251017,GTCO
9/17/2024,46.9,46.9,46.9,46.9,1595236,GTCO
9/13/2024,46,46,46,46,11364800,GTCO
9/12/2024,45.65,45.65,45.65,45.65,7726693,GTCO
9/11/2024,45.45,45.45,45.45,45.45,12554430,GTCO
9/10/2024,45.5,45.5,45.5,45.5,18923680,GTCO
9/9/2024,45.4,45.4,45.4,45.4,33922129,GTCO
9/6/2024,45.4,45.4,45.4,45.4,15524110,GTCO
9/5/2024,45.5,45.5,45.5,45.5,28451211,GTCO
9/4/2024,45.8,45.8,45.8,45.8,21947910,GTCO
9/3/2024,46,46,46,46,17218711,GTCO
9/2/2024,45.6,45.6,45.6,45.6,12130600,GTCO
8/30/2024,45.5,45.5,45.5,45.5,26280311,GTCO
8/29/2024,45.9,45.9,45.9,45.9,15242710,GTCO
8/28/2024,45.8,45.8,45.8,45.8,6628319,GTCO
8/27/2024,45.65,45.65,45.65,45.65,13118780,GTCO
8/26/2024,45.5,45.5,45.5,45.5,8741385,GTCO
8/23/2024,45.6,45.6,45.6,45.6,11260390,GTCO
8/22/2024,45.55,45.55,45.55,45.55,2667000,GTCO
8/21/2024,45.5,45.5,45.5,45.5,45748672,GTCO
8/20/2024,45.8,45.8,45.8,45.8,20268119,GTCO
8/19/2024,45.8,45.8,45.8,45.8,59254609,GTCO
8/16/2024,46,46,46,46,90886844,GTCO
8/15/2024,45.55,45.55,45.55,45.55,15935020,GTCO
8/14/2024,45.5,45.5,45.5,45.5,36328551,GTCO
8/13/2024,45.6,45.6,45.6,45.6,71997633,GTCO
8/12/2024,45.6,45.6,45.6,45.6,123920000,GTCO
8/9/2024,45.9,45.9,45.9,45.9,22271891,GTCO
8/8/2024,46,46,46,46,109920703,GTCO
8/7/2024,45,45,45,45,74339523,GTCO
8/6/2024,44.35,44.35,44.35,44.35,4579293,GTCO
8/5/2024,45,45,45,45,4898292,GTCO
8/2/2024,45,45,45,45,3352562,GTCO
8/1/2024,44,44,44,44,14873030,GTCO
7/31/2024,44,44,44,44,9684684,GTCO
7/30/2024,43.95,43.95,43.95,43.95,7681080,GTCO
7/29/2024,44,44,44,44,20991340,GTCO
7/26/2024,44,44,44,44,28421641,GTCO
7/25/2024,44.75,44.75,44.75,44.75,27049189,GTCO
7/24/2024,45,45,45,45,21091410,GTCO
7/23/2024,45.05,45.05,45.05,45.05,4483111,GTCO
7/22/2024,45,45,45,45,8192462,GTCO
7/19/2024,44.95,44.95,44.95,44.95,37547672,GTCO
7/18/2024,45.3,45.3,45.3,45.3,39747898,GTCO
7/17/2024,45.5,45.5,45.5,45.5,4177660,GTCO
7/16/2024,45.6,45.6,45.6,45.6,29160801,GTCO
