Date, Open, High, Low, Close, Volume,Name
12/31/2024,9111,9325,9111,9199,1679919,MTN
12/30/2024,9200,9379,9118,9287,5191276,MTN
12/27/2024,8500,9289,8459,9289,7944922,MTN
12/24/2024,8202,8487,8202,8459,802687,MTN
12/23/2024,8252,8366,8088,8189,1812410,MTN
12/20/2024,8222,8258,8020,8252,12269550,MTN
12/19/2024,8345,8471,8180,8222,13884610,MTN
12/18/2024,8411,8595,8373,8471,16968350,MTN
12/17/2024,8648,8754,8380,8380,4388226,MTN
12/13/2024,8528,8877,8504,8744,3632963,MTN
12/12/2024,8507,8638,8505,8587,3179183,MTN
12/11/2024,8525,8628,8459,8503,3090383,MTN
12/10/2024,8339,8641,8275,8597,3863695,MTN
12/9/2024,8514,8573,8391,8458,3208940,MTN
12/6/2024,8300,8613,8300,8541,3139783,MTN
12/5/2024,8205,8505,8205,8467,4019050,MTN
12/4/2024,8080,8325,8069,8278,3400410,MTN
12/3/2024,8150,8294,8003,8078,5297191,MTN
12/2/2024,8115,8249,8026,8150,5975420,MTN
11/29/2024,8060,8147,8034,8074,3719375,MTN
11/28/2024,8150,8224,8113,8148,5667895,MTN
11/27/2024,8150,8205,7994,8123,5539491,MTN
11/26/2024,8050,8166,7987,8129,3837347,MTN
11/25/2024,8020,8276,8020,8124,8476053,MTN
11/22/2024,8101,8254,8027,8040,4346977,MTN
11/21/2024,8238,8392,8150,8180,3859789,MTN
11/20/2024,8400,8420,8171,8238,3895999,MTN
11/19/2024,8300,8494,8209,8336,2147694,MTN
11/18/2024,8289,8400,8173,8350,2238010,MTN
11/15/2024,8161,8270,8071,8206,1792062,MTN
11/14/2024,8345,8483,8162,8164,4820688,MTN
11/13/2024,8350,8490,8321,8427,2201218,MTN
11/12/2024,8216,8485,8206,8406,2562569,MTN
11/11/2024,8408,8430,8263,8317,2475762,MTN
11/8/2024,8400,8475,8252,8427,1788782,MTN
11/7/2024,8450,8627,8353,8385,2969487,MTN
11/6/2024,8750,8750,8420,8475,4017188,MTN
11/5/2024,8878,8986,8561,8684,4524553,MTN
11/4/2024,8571,8923,8571,8868,2091357,MTN
11/1/2024,8800,8827,8545,8742,3315429,MTN
10/31/2024,8794,8902,8684,8753,3891823,MTN
10/30/2024,8604,8841,8564,8759,4228949,MTN
10/29/2024,8815,8870,8501,8677,3221329,MTN
10/28/2024,8950,9063,8788,8861,5032739,MTN
10/25/2024,8900,9100,8857,8901,4156380,MTN
10/24/2024,9100,9134,8900,8900,2563113,MTN
10/23/2024,8946,9054,8877,8919,2968910,MTN
10/22/2024,9100,9100,8716,9015,3707573,MTN
10/21/2024,9200,9265,8948,9035,4380289,MTN
10/18/2024,8860,9222,8860,9150,4301966,MTN
10/17/2024,8940,8995,8813,8952,1921167,MTN
10/16/2024,8600,8855,8593,8834,2166661,MTN
10/15/2024,8800,8800,8620,8664,1972054,MTN
10/14/2024,8837,8837,8607,8688,1902474,MTN
10/11/2024,8700,8921,8697,8790,2883108,MTN
10/10/2024,8815,8815,8625,8702,2381767,MTN
10/9/2024,8810,8810,8549,8650,2664897,MTN
10/8/2024,8585,8747,8500,8623,3822074,MTN
10/7/2024,8583,8624,8457,8588,3029563,MTN
10/4/2024,8812,8850,8565,8584,3555955,MTN
10/3/2024,8871,8918,8752,8850,5076841,MTN
10/2/2024,9206,9206,8779,8851,3210323,MTN
10/1/2024,9160,9347,8952,8976,4925116,MTN
9/30/2024,9497,9497,9183,9183,7407439,MTN
9/27/2024,9510,9618,9432,9525,2709352,MTN
9/26/2024,9600,9685,9474,9511,3088594,MTN
9/25/2024,9610,9850,9479,9595,5773728,MTN
9/23/2024,9582,9643,9449,9532,3406063,MTN
9/20/2024,9509,9611,9385,9575,12688400,MTN
9/19/2024,9436,9641,9362,9548,15046590,MTN
9/18/2024,9375,9455,9241,9436,3710227,MTN
9/17/2024,9131,9396,9131,9371,2293320,MTN
9/16/2024,9379,9379,9195,9252,4161806,MTN
9/13/2024,9350,9395,9231,9375,5245054,MTN
9/12/2024,9300,9442,9160,9275,4939672,MTN
9/11/2024,8897,9255,8897,9200,4520348,MTN
9/10/2024,9084,9277,9047,9243,3527588,MTN
9/9/2024,9178,9244,9074,9155,3943590,MTN
9/6/2024,9103,9319,8996,9192,6272297,MTN
9/5/2024,8675,9184,8654,9103,4699005,MTN
9/4/2024,8805,8861,8581,8758,5528443,MTN
9/3/2024,8925,8925,8595,8610,4466251,MTN
9/2/2024,8903,8950,8710,8765,2905676,MTN
8/30/2024,9254,9302,8821,8886,9645733,MTN
8/29/2024,9400,9470,9225,9256,3739873,MTN
8/28/2024,9644,9644,9349,9373,4488859,MTN
8/27/2024,9630,9661,9545,9600,5097196,MTN
8/26/2024,9550,9705,9475,9634,4865633,MTN
8/23/2024,8999,9593,8999,9593,7234014,MTN
8/22/2024,9000,9214,8961,9011,4183742,MTN
8/21/2024,8920,9079,8801,8948,3619664,MTN
8/20/2024,9035,9116,8835,8950,4861303,MTN
8/19/2024,8851,9083,8673,9028,6093146,MTN
8/16/2024,8505,8890,8505,8865,8497689,MTN
8/15/2024,8500,8684,8430,8606,4886673,MTN
8/14/2024,8300,8518,8290,8497,6535929,MTN
8/13/2024,8300,8372,8219,8333,4510568,MTN
8/12/2024,8226,8300,8052,8290,4797318,MTN
8/8/2024,7640,8306,7640,8306,16360550,MTN
8/7/2024,7384,7546,7382,7520,4460446,MTN
8/6/2024,7450,7469,7175,7270,4777382,MTN
8/5/2024,7450,7474,7043,7461,8282247,MTN
8/2/2024,7719,7761,7460,7514,5024234,MTN
8/1/2024,7900,7975,7672,7736,2835094,MTN
7/31/2024,7650,7974,7627,7911,7059671,MTN
7/30/2024,7640,7820,7577,7683,3873153,MTN
7/29/2024,7670,7761,7572,7572,3335813,MTN
7/26/2024,7694,7819,7641,7726,2221595,MTN
7/25/2024,7617,7754,7442,7702,4405959,MTN
7/24/2024,7596,7875,7571,7675,4139939,MTN
7/23/2024,7500,7730,7352,7648,5128108,MTN
7/22/2024,7526,7552,7443,7466,2849075,MTN
7/19/2024,7325,7527,7302,7522,3821451,MTN
7/18/2024,7570,7654,7292,7397,13886020,MTN
7/17/2024,7895,7916,7564,7564,5071458,MTN
7/16/2024,7955,8022,7834,7851,4360305,MTN
7/15/2024,8300,8300,7875,8063,7968234,MTN
7/12/2024,8199,8253,8128,8195,1879275,MTN
7/11/2024,8250,8265,8030,8199,2454802,MTN
7/10/2024,8146,8318,8115,8199,3507297,MTN
7/9/2024,8181,8313,8101,8214,3244092,MTN
7/8/2024,8330,8330,8150,8180,5101054,MTN
7/5/2024,8395,8424,8250,8334,2372429,MTN
7/4/2024,8275,8422,8231,8360,2987345,MTN
7/3/2024,8211,8395,8211,8300,3196091,MTN
7/2/2024,8599,8600,8163,8200,3668440,MTN
7/1/2024,8531,8842,8531,8543,2842409,MTN
6/28/2024,8279,8651,8149,8494,5513040,MTN
6/27/2024,8300,8300,7980,8269,3480706,MTN
6/26/2024,8405,8546,8187,8229,4596206,MTN
6/25/2024,8483,8525,8399,8453,3625566,MTN
6/24/2024,8510,8631,8458,8528,3025716,MTN
6/21/2024,8620,8800,8502,8512,14518130,MTN
6/20/2024,8845,8885,8494,8569,16445500,MTN
6/19/2024,8717,9134,8680,8800,13834920,MTN
6/18/2024,8225,8845,8225,8585,9941260,MTN
6/14/2024,7830,8467,7830,8225,8693496,MTN
6/13/2024,8095,8156,7802,7812,6067123,MTN
6/12/2024,8040,8190,7992,8110,6668958,MTN
6/11/2024,8054,8200,7978,7978,4952074,MTN
6/10/2024,8070,8103,7959,8022,5317210,MTN
6/7/2024,8060,8207,7988,8070,5057986,MTN
6/6/2024,8354,8354,8129,8214,2744951,MTN
6/5/2024,8060,8306,8060,8197,4691617,MTN
6/4/2024,8439,8511,8154,8170,5085754,MTN
6/3/2024,8210,8531,8210,8439,3685063,MTN
5/31/2024,8315,8500,8185,8206,12004280,MTN
5/30/2024,8500,8523,8301,8520,4230992,MTN
5/28/2024,8410,8549,8366,8500,4050555,MTN
5/27/2024,8500,8673,8458,8458,3153552,MTN
5/24/2024,8576,8713,8469,8608,3723269,MTN
5/23/2024,8700,8967,8502,8565,5534744,MTN
5/22/2024,8701,8919,8655,8838,4002348,MTN
5/21/2024,8500,8726,8424,8690,3710469,MTN
5/20/2024,8600,8662,8350,8500,5750262,MTN
5/17/2024,8372,8694,8274,8617,6741876,MTN
5/16/2024,8750,8799,8337,8338,6676782,MTN
5/15/2024,8559,8767,8406,8645,4251318,MTN
5/14/2024,9205,9209,8482,8482,8234772,MTN
5/13/2024,9342,9454,9230,9270,3819228,MTN
5/10/2024,9420,9589,9378,9400,3584286,MTN
5/9/2024,9352,9446,9328,9398,3768147,MTN
5/8/2024,9375,9416,9336,9416,3168873,MTN
5/7/2024,9455,9456,9306,9378,2756085,MTN
5/6/2024,9523,9523,9339,9339,3929660,MTN
5/3/2024,9465,9518,9275,9371,8017779,MTN
5/2/2024,9102,9535,9102,9260,8163045,MTN
4/30/2024,9090,9355,8973,9058,11702350,MTN
4/29/2024,8715,9100,8606,9090,5727385,MTN
4/26/2024,8400,8680,8400,8635,4321299,MTN
4/25/2024,8270,8392,8266,8392,3872824,MTN
4/24/2024,8311,8353,8224,8327,5841591,MTN
4/23/2024,8401,8444,8200,8299,3044719,MTN
4/22/2024,8210,8466,8210,8299,4900335,MTN
4/19/2024,8150,8256,8028,8209,5232308,MTN
4/18/2024,8153,8268,7988,8200,14780550,MTN
4/17/2024,8155,8230,8000,8047,7811102,MTN
4/16/2024,8686,8686,8406,8435,6453382,MTN
4/15/2024,8888,9046,8675,8725,5592759,MTN
4/12/2024,9203,9256,8890,9013,5104762,MTN
4/11/2024,9342,9413,9081,9259,5224385,MTN
4/10/2024,9187,9400,9164,9242,5323526,MTN
4/9/2024,9341,9445,9186,9186,5793874,MTN
4/8/2024,9600,9876,9355,9410,7727203,MTN
4/5/2024,9660,9729,9504,9706,19562539,MTN
4/4/2024,9250,9818,9160,9803,5996759,MTN
4/3/2024,9223,9438,9001,9253,8841156,MTN
4/2/2024,9375,9574,9162,9234,8017517,MTN
3/28/2024,9577,9675,9279,9374,5928605,MTN
3/27/2024,9220,9508,9045,9399,6491644,MTN
3/26/2024,9190,9313,9044,9217,5524870,MTN
3/25/2024,8930,9300,8868,9180,6914634,MTN
3/22/2024,8590,9330,8520,9036,9677785,MTN
3/20/2024,8350,8500,8161,8413,12073890,MTN
3/19/2024,8441,8511,8251,8383,4797071,MTN
3/18/2024,8456,8820,8401,8482,5724257,MTN
3/15/2024,8498,8630,8386,8629,15906300,MTN
3/14/2024,8528,8533,8337,8436,5469317,MTN
3/13/2024,8560,8593,8375,8447,3975282,MTN
3/12/2024,8644,8800,8400,8400,4732776,MTN
3/11/2024,8233,8680,8233,8639,4904564,MTN
3/8/2024,8615,8615,8210,8341,5120494,MTN
3/7/2024,8615,8615,8362,8592,3210696,MTN
3/6/2024,8209,8618,8209,8618,3483152,MTN
3/5/2024,8700,8701,8187,8263,5935384,MTN
3/4/2024,8387,8736,8387,8665,5311734,MTN
3/1/2024,8000,8439,7753,8406,9691055,MTN
2/29/2024,8390,8494,8151,8350,10962570,MTN
2/28/2024,8950,8969,8289,8420,5242537,MTN
2/27/2024,8780,8975,8705,8950,4531356,MTN
2/26/2024,8690,8781,8495,8780,6547380,MTN
2/23/2024,8656,8700,8489,8534,2462076,MTN
2/22/2024,8555,8769,8555,8769,7062216,MTN
2/21/2024,8660,8699,8480,8553,8507098,MTN
2/20/2024,9040,9049,8527,8604,11440510,MTN
2/19/2024,9090,9125,9022,9043,4301038,MTN
2/16/2024,9243,9309,8952,9100,5727010,MTN
2/15/2024,9250,9300,9218,9228,3486220,MTN
2/14/2024,9300,9379,9226,9290,5178998,MTN
2/13/2024,9380,9424,9191,9252,8569563,MTN
2/12/2024,9228,9400,9177,9400,3128335,MTN
2/9/2024,9300,9381,9161,9231,2214020,MTN
2/8/2024,9326,9377,9124,9316,3593485,MTN
2/7/2024,9540,9574,9280,9372,3596300,MTN
2/6/2024,9530,9583,9309,9498,3345020,MTN
2/5/2024,9488,9488,9258,9323,3088234,MTN
2/2/2024,9619,9935,9390,9480,5021176,MTN
2/1/2024,9545,9585,9301,9579,4814784,MTN
1/31/2024,9640,9640,9310,9554,7169006,MTN
1/30/2024,10000,10051,9317,9652,7273943,MTN
1/29/2024,10400,10424,10000,10000,3823041,MTN
1/26/2024,10000,10434,9939,10434,2572157,MTN
1/25/2024,10500,10515,9928,10114,3832169,MTN
1/24/2024,10540,10649,10389,10479,2439049,MTN
1/23/2024,10400,10585,10314,10525,4104693,MTN
1/22/2024,10808,10808,10479,10601,1953806,MTN
1/19/2024,10600,10892,10513,10570,4281988,MTN
1/18/2024,10714,10874,10640,10765,3454110,MTN
1/17/2024,10801,10947,10717,10768,3438867,MTN
1/16/2024,10901,11105,10816,11020,2239523,MTN
1/15/2024,11220,11239,10877,11100,4538690,MTN
1/12/2024,11290,11290,11008,11189,2237611,MTN
1/11/2024,11138,11282,10938,11222,3918858,MTN
1/10/2024,11300,11300,11029,11132,3920334,MTN
1/9/2024,11123,11286,11102,11198,2570342,MTN
