Date, Open, High, Low, Close, Volume,Name
12/31/2024,200,200,200,200,1799821,MTNN
12/30/2024,207.8,207.8,207.8,207.8,3125786,MTNN
12/27/2024,194,194,194,194,2132416,MTNN
12/24/2024,194,194,194,194,1577735,MTNN
12/23/2024,178,178,178,178,3315428,MTNN
12/20/2024,175.5,175.5,175.5,175.5,2544536,MTNN
12/19/2024,175.5,175.5,175.5,175.5,1375069,MTNN
12/18/2024,175,175,175,175,1659660,MTNN
12/17/2024,175,175,175,175,2951688,MTNN
12/16/2024,175,175,175,175,2738082,MTNN
12/13/2024,176,176,176,176,332153,MTNN
12/12/2024,176,176,176,176,350136,MTNN
12/11/2024,176,176,176,176,986089,MTNN
12/10/2024,176,176,176,176,24682230,MTNN
12/9/2024,170.1,170.1,170.1,170.1,621310,MTNN
12/6/2024,170.1,170.1,170.1,170.1,16877920,MTNN
12/5/2024,170,170,170,170,11652910,MTNN
12/4/2024,170,170,170,170,1527139,MTNN
12/3/2024,170,170,170,170,852298,MTNN
12/2/2024,170,170,170,170,1049719,MTNN
11/29/2024,170,170,170,170,397970,MTNN
11/28/2024,170,170,170,170,444501,MTNN
11/27/2024,170,170,170,170,789725,MTNN
11/26/2024,170,170,170,170,4598356,MTNN
11/25/2024,172,172,172,172,864921,MTNN
11/22/2024,172,172,172,172,1338149,MTNN
11/21/2024,172,172,172,172,2003259,MTNN
11/20/2024,172,172,172,172,904112,MTNN
11/19/2024,172,172,172,172,1115999,MTNN
11/18/2024,170,170,170,170,552390,MTNN
11/15/2024,170,170,170,170,396878,MTNN
11/14/2024,170,170,170,170,261547,MTNN
11/13/2024,170,170,170,170,442789,MTNN
11/12/2024,170,170,170,170,3510743,MTNN
11/11/2024,169,169,169,169,174949,MTNN
11/8/2024,169,169,169,169,1031382,MTNN
11/7/2024,169.7,169.7,169.7,169.7,908857,MTNN
11/6/2024,169.7,169.7,169.7,169.7,409161,MTNN
11/5/2024,169.7,169.7,169.7,169.7,1565766,MTNN
11/4/2024,170.1,170.1,170.1,170.1,965009,MTNN
11/1/2024,175,175,175,175,1561538,MTNN
10/31/2024,175.1,175.1,175.1,175.1,214215,MTNN
10/30/2024,175.1,175.1,175.1,175.1,30756141,MTNN
10/29/2024,184,184,184,184,227646,MTNN
10/28/2024,184,184,184,184,310688,MTNN
10/25/2024,184,184,184,184,526681,MTNN
10/24/2024,188.5,188.5,188.5,188.5,2825834,MTNN
10/23/2024,188.5,188.5,188.5,188.5,1410234,MTNN
10/22/2024,188.5,188.5,188.5,188.5,308657,MTNN
10/21/2024,188.5,188.5,188.5,188.5,903112,MTNN
10/18/2024,191,191,191,191,459301,MTNN
10/17/2024,191,191,191,191,1364859,MTNN
10/16/2024,191,191,191,191,210004,MTNN
10/15/2024,191,191,191,191,303542,MTNN
10/14/2024,191,191,191,191,153169,MTNN
10/11/2024,191,191,191,191,1006308,MTNN
10/10/2024,190,190,190,190,387852,MTNN
10/9/2024,190,190,190,190,344461,MTNN
10/8/2024,190,190,190,190,775619,MTNN
10/7/2024,191.1,191.1,191.1,191.1,415187,MTNN
10/4/2024,190.3,190.3,190.3,190.3,145879,MTNN
10/3/2024,190.3,190.3,190.3,190.3,617879,MTNN
10/2/2024,190,190,190,190,1776780,MTNN
9/30/2024,191,191,191,191,346299,MTNN
9/27/2024,191,191,191,191,185842,MTNN
9/26/2024,191,191,191,191,404983,MTNN
9/25/2024,199.8,199.8,199.8,199.8,348581,MTNN
9/24/2024,199.8,199.8,199.8,199.8,540559,MTNN
9/23/2024,199.8,199.8,199.8,199.8,372474,MTNN
9/20/2024,199.8,199.8,199.8,199.8,2254634,MTNN
9/19/2024,192,192,192,192,690438,MTNN
9/18/2024,192,192,192,192,1810054,MTNN
9/17/2024,192.2,192.2,192.2,192.2,425671,MTNN
9/13/2024,192.2,192.2,192.2,192.2,1883771,MTNN
9/12/2024,192.5,192.5,192.5,192.5,2300907,MTNN
9/11/2024,192.5,192.5,192.5,192.5,1331910,MTNN
9/10/2024,192.5,192.5,192.5,192.5,2738196,MTNN
9/9/2024,179,179,179,179,4188796,MTNN
9/6/2024,179,179,179,179,690401,MTNN
9/5/2024,180,180,180,180,715024,MTNN
9/4/2024,180,180,180,180,1079025,MTNN
9/3/2024,180,180,180,180,997618,MTNN
9/2/2024,180,180,180,180,4660941,MTNN
8/30/2024,180,180,180,180,1224312,MTNN
8/29/2024,184,184,184,184,1587339,MTNN
8/28/2024,184,184,184,184,1481518,MTNN
8/27/2024,199.8,199.8,199.8,199.8,347973,MTNN
8/26/2024,199.8,199.8,199.8,199.8,483504,MTNN
8/23/2024,199.8,199.8,199.8,199.8,1507556,MTNN
8/22/2024,199.8,199.8,199.8,199.8,763031,MTNN
8/21/2024,199.8,199.8,199.8,199.8,427909,MTNN
8/20/2024,199.8,199.8,199.8,199.8,552694,MTNN
8/19/2024,199.8,199.8,199.8,199.8,520290,MTNN
8/16/2024,199.8,199.8,199.8,199.8,396117,MTNN
8/15/2024,199.8,199.8,199.8,199.8,403134,MTNN
8/14/2024,199.8,199.8,199.8,199.8,879401,MTNN
8/13/2024,199.8,199.8,199.8,199.8,1081605,MTNN
8/12/2024,199.8,199.8,199.8,199.8,566935,MTNN
8/9/2024,199.8,199.8,199.8,199.8,1730297,MTNN
8/8/2024,198,198,198,198,1890989,MTNN
8/7/2024,180,180,180,180,2250037,MTNN
8/6/2024,179.5,179.5,179.5,179.5,1728003,MTNN
8/5/2024,178.7,178.7,178.7,178.7,6466128,MTNN
