Date, Open, High, Low, Close, Volume,Name
12/31/2024,32,32,32,32,1639092,NB
12/30/2024,32.15,32.15,32.15,32.15,2585788,NB
12/27/2024,32.5,32.5,32.5,32.5,8634546,NB
12/24/2024,32.5,32.5,32.5,32.5,3585428,NB
12/23/2024,31,31,31,31,1744538,NB
12/20/2024,29,29,29,29,2140273,NB
12/19/2024,30,30,30,30,9519787,NB
12/18/2024,28,28,28,28,1771453,NB
12/17/2024,28,28,28,28,363630,NB
12/16/2024,28,28,28,28,602173,NB
12/13/2024,27.5,27.5,27.5,27.5,861214,NB
12/12/2024,27.5,27.5,27.5,27.5,497205,NB
12/11/2024,27.5,27.5,27.5,27.5,2337895,NB
12/10/2024,27.15,27.15,27.15,27.15,2006735,NB
12/9/2024,27.15,27.15,27.15,27.15,610460,NB
12/6/2024,27.3,27.3,27.3,27.3,433722,NB
12/5/2024,28.1,28.1,28.1,28.1,367348,NB
12/4/2024,28.1,28.1,28.1,28.1,722501,NB
12/3/2024,28.1,28.1,28.1,28.1,307419,NB
12/2/2024,28.1,28.1,28.1,28.1,10742110,NB
11/29/2024,27,27,27,27,104349,NB
11/28/2024,27,27,27,27,303078,NB
11/27/2024,27,27,27,27,1413045,NB
11/26/2024,28.5,28.5,28.5,28.5,116848,NB
11/25/2024,28.5,28.5,28.5,28.5,558818,NB
11/22/2024,28.5,28.5,28.5,28.5,1516840,NB
11/21/2024,28,28,28,28,204114,NB
11/20/2024,28,28,28,28,1660306,NB
11/19/2024,27,27,27,27,760291,NB
11/18/2024,27,27,27,27,195285,NB
11/15/2024,27,27,27,27,1170462,NB
11/14/2024,27,27,27,27,291397,NB
11/13/2024,27,27,27,27,866403,NB
11/12/2024,27,27,27,27,219622,NB
11/11/2024,27,27,27,27,1519134,NB
11/8/2024,27,27,27,27,433127,NB
11/7/2024,27,27,27,27,217202,NB
11/6/2024,27,27,27,27,1253178,NB
11/5/2024,27,27,27,27,22393811,NB
11/4/2024,28,28,28,28,248727,NB
11/1/2024,28,28,28,28,461616,NB
10/31/2024,28,28,28,28,215402,NB
10/30/2024,28,28,28,28,687963,NB
10/29/2024,28,28,28,28,1611259,NB
10/28/2024,28,28,28,28,720596,NB
10/25/2024,28,28,28,28,1458905,NB
10/24/2024,28,28,28,28,1249813,NB
10/23/2024,28,28,28,28,37373770,NB
10/22/2024,28,28,28,28,8174797,NB
10/21/2024,28,28,28,28,23392320,NB
10/18/2024,28,28,28,28,1169284,NB
10/17/2024,29,29,29,29,208376,NB
10/16/2024,29,29,29,29,193648,NB
10/15/2024,29,29,29,29,530392,NB
10/14/2024,29,29,29,29,282516,NB
10/11/2024,29,29,29,29,592944,NB
10/10/2024,28.85,28.85,28.85,28.85,382493,NB
10/9/2024,30,30,30,30,14560710,NB
10/8/2024,28.5,28.5,28.5,28.5,760717,NB
10/7/2024,30,30,30,30,12169080,NB
10/4/2024,30,30,30,30,7030338,NB
10/3/2024,30,30,30,30,1879348,NB
10/2/2024,29.2,29.2,29.2,29.2,3569421,NB
9/30/2024,29.2,29.2,29.2,29.2,888482,NB
9/27/2024,29.2,29.2,29.2,29.2,576953,NB
9/26/2024,29,29,29,29,11530130,NB
9/25/2024,28.7,28.7,28.7,28.7,1054778,NB
9/24/2024,28.8,28.8,28.8,28.8,2200411,NB
9/23/2024,28.3,28.3,28.3,28.3,1205042,NB
9/20/2024,28,28,28,28,206757,NB
9/19/2024,28,28,28,28,1312016,NB
9/18/2024,28,28,28,28,629452,NB
9/17/2024,28,28,28,28,255222,NB
9/13/2024,28,28,28,28,13348940,NB
9/12/2024,27,27,27,27,427086,NB
9/11/2024,27,27,27,27,228090,NB
9/10/2024,27,27,27,27,1270445,NB
9/9/2024,27,27,27,27,714088,NB
9/6/2024,27,27,27,27,623350,NB
9/5/2024,26,26,26,26,444127,NB
9/4/2024,27,27,27,27,638169,NB
9/3/2024,27,27,27,27,1452853,NB
9/2/2024,27.5,27.5,27.5,27.5,833756,NB
8/30/2024,28.3,28.3,28.3,28.3,594665,NB
8/29/2024,28.3,28.3,28.3,28.3,1432408,NB
8/28/2024,28,28,28,28,1381192,NB
8/27/2024,28.15,28.15,28.15,28.15,797753,NB
8/26/2024,28.65,28.65,28.65,28.65,211737,NB
8/23/2024,28.65,28.65,28.65,28.65,296981,NB
8/22/2024,28.65,28.65,28.65,28.65,191780,NB
8/21/2024,28.65,28.65,28.65,28.65,2307024,NB
8/20/2024,28,28,28,28,524146,NB
8/19/2024,28,28,28,28,1761818,NB
8/16/2024,29,29,29,29,395807,NB
8/15/2024,29,29,29,29,377678,NB
8/14/2024,29.6,29.6,29.6,29.6,427864,NB
8/13/2024,31,31,31,31,216171,NB
8/12/2024,31,31,31,31,682125,NB
8/9/2024,31,31,31,31,760726,NB
8/8/2024,29,29,29,29,1506478,NB
8/7/2024,26.4,26.4,26.4,26.4,519190,NB
8/6/2024,26.4,26.4,26.4,26.4,574278,NB
8/5/2024,26.4,26.4,26.4,26.4,442704,NB
8/2/2024,26,26,26,26,348322,NB
8/1/2024,26,26,26,26,5429525,NB
7/31/2024,25.25,25.25,25.25,25.25,914292,NB
7/30/2024,28,28,28,28,10712570,NB
7/29/2024,29.4,29.4,29.4,29.4,626418,NB
7/26/2024,29.8,29.8,29.8,29.8,8177277,NB
7/25/2024,29.8,29.8,29.8,29.8,17190510,NB
7/24/2024,29.75,29.75,29.75,29.75,443340,NB
7/23/2024,29.75,29.75,29.75,29.75,540845,NB
7/22/2024,29.75,29.75,29.75,29.75,544966,NB
7/19/2024,29.75,29.75,29.75,29.75,1352851,NB
7/18/2024,29.75,29.75,29.75,29.75,781268,NB
7/17/2024,29.95,29.95,29.95,29.95,1708427,NB
7/16/2024,29.5,29.5,29.5,29.5,720582,NB
7/15/2024,29.5,29.5,29.5,29.5,1689485,NB
7/12/2024,27.5,27.5,27.5,27.5,461550.3336,NB
7/11/2024,27.5,27.5,27.5,27.5,954982.2985,NB
7/10/2024,27.5,27.5,27.5,27.5,942793.4065,NB
7/9/2024,27.5,27.5,27.5,27.5,841802.5073,NB
7/8/2024,27.5,27.5,27.5,27.5,709771.2975,NB
7/5/2024,26.94,26.94,26.94,26.94,333659.8479,NB
7/4/2024,26.94,26.94,26.94,26.94,568691.8389,NB
7/3/2024,26.94,26.94,26.94,26.94,423716.8164,NB
7/2/2024,26.94,26.94,26.94,26.94,1372072.228,NB
7/1/2024,26.85,26.85,26.85,26.85,793665.78,NB
6/28/2024,27.31,27.31,27.31,27.31,1030268.092,NB
6/27/2024,27.31,27.31,27.31,27.31,2702557.936,NB
6/26/2024,26.85,26.85,26.85,26.85,2615858.691,NB
6/25/2024,26.62,26.62,26.62,26.62,809159.4752,NB
6/24/2024,26.85,26.85,26.85,26.85,1737166.587,NB
6/21/2024,26.85,26.85,26.85,26.85,567071.8373,NB
6/20/2024,26.85,26.85,26.85,26.85,1135718.316,NB
6/19/2024,26.85,26.85,26.85,26.85,1604789.777,NB
6/14/2024,29.31,29.31,29.31,29.31,1964545.691,NB
6/13/2024,29.54,29.54,29.54,29.54,5688526.51,NB
6/11/2024,26.85,26.85,26.85,26.85,109710726.3,NB
6/10/2024,25.93,25.93,25.93,25.93,48876853.11,NB
6/7/2024,25.32,25.32,25.32,25.32,35047426.56,NB
6/6/2024,25.83,25.83,25.83,25.83,760167.387,NB
