Date, Open, High, Low, Close, Volume,Name
12/31/2024,22399,22399,22016,22176,861865,SBK
12/30/2024,22450,22450,22020,22139,1246989,SBK
12/27/2024,22450,22780,22089,22321,1509956,SBK
12/24/2024,22500,22689,22476,22548,323993,SBK
12/23/2024,22544,22661,22309,22536,1672686,SBK
12/20/2024,22447,22700,22163,22544,6786329,SBK
12/19/2024,22600,22960,22204,22426,10306390,SBK
12/18/2024,22550,22827,22550,22705,3816652,SBK
12/17/2024,22705,23131,22589,22589,3038613,SBK
12/13/2024,22828,23156,22750,22969,2571786,SBK
12/12/2024,23044,23050,22856,22876,2338173,SBK
12/11/2024,23125,23350,22827,22950,3313316,SBK
12/10/2024,23020,23440,23020,23232,3471902,SBK
12/9/2024,23000,23439,23000,23343,2161545,SBK
12/6/2024,23000,23377,23000,23224,3504134,SBK
12/5/2024,22773,23493,22773,23253,2664522,SBK
12/4/2024,22631,23130,22631,22908,4186919,SBK
12/3/2024,23500,23704,22669,22760,5981322,SBK
12/2/2024,23420,23550,22310,23421,6222577,SBK
11/29/2024,23655,23919,23604,23688,2995506,SBK
11/28/2024,23800,24144,23500,23844,2408305,SBK
11/27/2024,23950,24130,23711,23711,3217640,SBK
11/26/2024,24025,24499,23971,24088,2398102,SBK
11/25/2024,24265,24785,24161,24220,5275268,SBK
11/22/2024,24800,24948,24401,24432,2517705,SBK
11/21/2024,24250,24778,24250,24716,2079906,SBK
11/20/2024,23875,24601,23875,24470,2384670,SBK
11/19/2024,24007,24158,23743,23967,1608689,SBK
11/18/2024,24046,24215,23904,23984,1259709,SBK
11/15/2024,24159,24288,23964,23964,1290772,SBK
11/14/2024,24020,24645,24020,24162,2056375,SBK
11/13/2024,24619,24619,24064,24170,1597352,SBK
11/12/2024,24099,24256,23808,24166,2562132,SBK
11/11/2024,24198,24328,23859,24057,2217984,SBK
11/8/2024,24355,24687,24114,24155,2959692,SBK
11/7/2024,24570,25045,24457,24460,3037367,SBK
11/6/2024,24780,24856,24450,24560,2614167,SBK
11/5/2024,24610,25162,24610,24962,3012880,SBK
11/4/2024,24500,24950,24334,24827,4578782,SBK
11/1/2024,24100,24604,24098,24542,2637022,SBK
10/31/2024,24047,24436,24008,24156,3839191,SBK
10/30/2024,23950,24361,23669,24283,4270694,SBK
10/29/2024,24299,24399,23754,23950,3311113,SBK
10/28/2024,23773,24376,23654,24244,2817384,SBK
10/25/2024,23800,24057,23745,23774,1474513,SBK
10/24/2024,23600,24100,23600,23839,1104205,SBK
10/23/2024,23751,23950,23596,23679,1667717,SBK
10/22/2024,23962,23992,23544,23750,2733310,SBK
10/21/2024,23931,24168,23600,23960,2003753,SBK
10/18/2024,23700,23904,23399,23899,3496618,SBK
10/17/2024,24020,24302,23500,23767,2450954,SBK
10/16/2024,24438,24438,24107,24119,1892098,SBK
10/15/2024,24193,24447,24123,24296,1862801,SBK
10/14/2024,24225,24436,24082,24337,1747476,SBK
10/11/2024,23800,24280,23670,24180,1371900,SBK
10/10/2024,23669,23917,23581,23700,1387822,SBK
10/9/2024,23700,23876,23351,23652,1608220,SBK
10/8/2024,23500,24036,23500,23797,3037957,SBK
10/7/2024,23556,23900,23556,23763,1636948,SBK
10/4/2024,23600,23892,23598,23738,2190796,SBK
10/3/2024,23868,24158,23515,23622,2360377,SBK
10/2/2024,23770,24139,23733,23926,2728736,SBK
10/1/2024,24095,24450,23713,23847,3749340,SBK
9/30/2024,24600,24821,24112,24235,4449603,SBK
9/27/2024,24945,25090,24525,24645,3209551,SBK
9/26/2024,25028,25246,24812,25042,4410022,SBK
9/25/2024,25050,25276,24830,24986,5475121,SBK
9/23/2024,24355,24987,24355,24841,2576659,SBK
9/20/2024,24415,24589,24178,24338,5617997,SBK
9/19/2024,24160,24584,24100,24417,10958920,SBK
9/18/2024,23890,24030,23713,24030,3111534,SBK
9/17/2024,23133,23995,23133,23875,3326424,SBK
9/16/2024,23149,23275,22946,23260,2449432,SBK
9/13/2024,23199,23200,22890,23155,2557486,SBK
9/12/2024,22825,23174,22729,22919,2665751,SBK
9/11/2024,23200,23200,22569,22790,2563643,SBK
9/10/2024,23400,23820,23309,23726,3233099,SBK
