Date, Open, High, Low, Close, Volume,Name
12/31/2024,17.15,17.35,17,17.05,1243600,SCOM
12/30/2024,17.2,17.5,17.05,17.15,935100,SCOM
12/27/2024,17.1,17.5,17.05,17.1,283900,SCOM
12/24/2024,17.5,17.5,17.05,17.2,169800,SCOM
12/23/2024,17.7,17.7,17.15,17.5,195000,SCOM
12/20/2024,17.7,17.7,17.4,17.6,15607800,SCOM
12/19/2024,17.6,17.7,17.45,17.6,17685600,SCOM
12/18/2024,17.25,17.7,17.25,17.6,13539600,SCOM
12/17/2024,17.1,17.5,17.1,17.25,1474800,SCOM
12/16/2024,17.1,17.3,17,17.1,1990100,SCOM
12/13/2024,16.25,17.2,16.25,17,4285900,SCOM
12/11/2024,17.05,17.5,16.6,17,45870801,SCOM
12/10/2024,16.65,17.95,16.65,17.6,31627500,SCOM
12/9/2024,16.5,16.7,16.25,16.55,2266500,SCOM
12/6/2024,15.95,16.65,15.6,16.25,1157400,SCOM
12/5/2024,15.4,16.05,15.4,15.95,8256100,SCOM
12/4/2024,15.3,15.65,15.1,15.4,1694500,SCOM
12/3/2024,15.4,15.5,15.1,15.25,7372900,SCOM
12/2/2024,15.2,15.8,15.15,15.35,13041100,SCOM
11/29/2024,15,15.7,14.55,15,6528500,SCOM
11/28/2024,14.35,15,14.2,14.4,53244398,SCOM
11/27/2024,14.65,14.7,14.1,14.4,7534300,SCOM
11/26/2024,14.75,14.85,14.55,14.65,11698000,SCOM
11/25/2024,15,15,14.7,14.85,17256100,SCOM
11/22/2024,15,15,14.85,14.9,10138100,SCOM
11/21/2024,14.95,15.3,14.85,14.9,8231600,SCOM
11/20/2024,14.9,15,14.6,14.8,3811100,SCOM
11/19/2024,15,15,14.5,14.9,12136100,SCOM
11/18/2024,15.15,15.25,14.9,15,2583000,SCOM
11/15/2024,15.3,15.3,15.1,15.15,2598600,SCOM
11/14/2024,15.3,15.5,15.15,15.25,3024300,SCOM
11/13/2024,15.4,15.5,15.2,15.3,2990000,SCOM
11/12/2024,15.4,15.5,15.2,15.3,5287200,SCOM
11/11/2024,15.7,15.7,15.15,15.4,675500,SCOM
11/8/2024,15.75,15.9,15.5,15.65,3815500,SCOM
11/7/2024,16.3,16.5,15.1,15.7,10478000,SCOM
11/6/2024,16.45,16.45,16.2,16.35,868700,SCOM
11/5/2024,16.55,16.7,16.3,16.45,1548000,SCOM
11/4/2024,16.8,16.8,16.25,16.7,5049800,SCOM
10/31/2024,17.2,17.2,16.5,16.75,2409300,SCOM
10/30/2024,17.4,17.5,16.85,17.35,8426900,SCOM
10/29/2024,17,17.65,16.9,17.4,12200600,SCOM
10/28/2024,16.5,17,16.5,16.75,3931300,SCOM
10/25/2024,16.15,16.7,16.1,16.5,4796700,SCOM
10/24/2024,16.25,16.3,15.6,16.15,4563000,SCOM
10/23/2024,15.9,16.25,15.9,16.15,4846200,SCOM
10/22/2024,15.6,16.15,15.6,15.85,22586600,SCOM
10/18/2024,15.9,16.3,15.5,15.85,477000,SCOM
10/17/2024,15.55,15.95,15.4,15.55,5660600,SCOM
10/16/2024,15.4,15.6,15.4,15.55,693300,SCOM
10/15/2024,15.5,15.5,15.2,15.35,224900,SCOM
10/14/2024,15.3,15.95,15.2,15.5,432500,SCOM
10/11/2024,15.2,15.5,15,15.3,14669600,SCOM
10/9/2024,14.95,15.3,14.9,15,10071400,SCOM
10/8/2024,15,15,14.85,14.9,423000,SCOM
10/7/2024,15,15,14.9,14.95,5648100,SCOM
10/4/2024,15,15.1,14.95,15,227400,SCOM
10/3/2024,15,15.1,14.95,15,2825600,SCOM
10/2/2024,15,15.1,14.9,15,26384900,SCOM
10/1/2024,15,15,14.95,15,7388400,SCOM
9/30/2024,15.1,15.1,14.95,15,320700,SCOM
9/27/2024,15.1,15.1,14.95,15.05,586100,SCOM
9/26/2024,15.1,15.1,15,15.05,306900,SCOM
9/25/2024,15,15.2,14.95,15.1,4168900,SCOM
9/24/2024,15,15.2,14.95,15,1335400,SCOM
9/23/2024,15.1,15.3,14.95,15,1872100,SCOM
9/20/2024,15.2,15.25,14.9,15,5714000,SCOM
9/19/2024,15.3,15.3,15.1,15.2,724800,SCOM
9/18/2024,15.3,15.4,15.1,15.25,12453100,SCOM
9/17/2024,15.4,15.5,15.2,15.3,3420600,SCOM
9/16/2024,15.45,15.55,15.05,15.45,924500,SCOM
9/13/2024,15.5,15.5,15,15.3,164300,SCOM
9/12/2024,15.45,15.45,14.9,15,1594100,SCOM
9/11/2024,15.2,15.5,15.2,15.3,11419000,SCOM
9/10/2024,14.9,15.65,14.9,15.15,1208200,SCOM
9/9/2024,14.75,15,14.7,14.85,590600,SCOM
9/6/2024,14.9,15,14.7,14.8,1949200,SCOM
9/5/2024,14.9,14.9,14.75,14.9,8917300,SCOM
9/4/2024,14.8,15,14.5,14.7,17825000,SCOM
9/3/2024,14.75,15,14.5,14.7,14355600,SCOM
9/2/2024,14.9,14.95,14.5,14.7,7264400,SCOM
8/30/2024,14.5,14.9,14.4,14.5,35609801,SCOM
8/29/2024,14.7,14.75,14.4,14.5,28426801,SCOM
8/28/2024,14.85,14.85,14.4,14.55,17813000,SCOM
8/27/2024,14.95,14.95,14.5,14.8,7508200,SCOM
8/26/2024,15,15.1,14.8,14.9,471000,SCOM
8/23/2024,15.2,15.2,15,15,2522800,SCOM
8/22/2024,15.1,15.15,15,15.05,452900,SCOM
8/21/2024,14.9,15.15,14.9,15,14014000,SCOM
8/20/2024,15,15.2,14.95,15,2548300,SCOM
8/19/2024,14.85,15.2,14.85,14.95,9567900,SCOM
8/16/2024,15,15.2,14.7,14.85,3081800,SCOM
8/15/2024,14.7,15,14.6,14.75,407200,SCOM
8/14/2024,14.7,14.75,14.55,14.6,6745000,SCOM
8/13/2024,14.8,15,14.55,14.65,5494700,SCOM
8/12/2024,14.8,15,14.7,14.8,8245700,SCOM
8/9/2024,14.8,15,14.75,14.8,1643200,SCOM
8/8/2024,14.8,14.9,14.65,14.75,9072900,SCOM
8/7/2024,14.85,14.95,14.5,14.7,3229000,SCOM
8/6/2024,14.95,15,14.5,14.85,4266600,SCOM
8/5/2024,15,15,14.2,14.4,12414600,SCOM
8/2/2024,15.15,15.35,14.95,15.05,14638300,SCOM
8/1/2024,15.8,15.8,15.1,15.35,1895000,SCOM
7/31/2024,15.8,16,15.7,15.9,883400,SCOM
7/30/2024,15.7,16.5,15.6,16,5675600,SCOM
7/29/2024,15.45,16,15.2,15.3,3487600,SCOM
7/26/2024,15.5,15.5,15.05,15.1,25624900,SCOM
7/25/2024,15.8,15.95,15.05,15.55,21303400,SCOM
7/24/2024,16.2,16.2,15.55,15.95,5218800,SCOM
7/23/2024,16.3,16.3,16,16.15,6812200,SCOM
7/22/2024,16.45,16.45,16.2,16.2,5541900,SCOM
7/19/2024,16.45,16.45,16.3,16.4,432500,SCOM
7/18/2024,16.8,16.9,16.3,16.45,1016500,SCOM
7/17/2024,17,17,16.6,16.75,1146200,SCOM
7/16/2024,17.05,17.15,16.95,17,928800,SCOM
7/15/2024,17.05,17.15,16.95,17,11160600,SCOM
7/12/2024,17.05,17.15,17.05,17.05,6048400,SCOM
7/11/2024,17,17.2,17,17.05,6594100,SCOM
7/10/2024,17.25,17.3,16.9,17.1,1644600,SCOM
7/9/2024,17.35,17.5,17.2,17.3,2397400,SCOM
7/8/2024,17.3,17.5,17.2,17.3,5022400,SCOM
7/5/2024,17.1,17.5,17.1,17.3,2170700,SCOM
7/4/2024,17.8,17.8,17.1,17.2,5027500,SCOM
7/3/2024,17.4,17.5,17.3,17.35,6918000,SCOM
7/2/2024,17.5,17.7,17.3,17.4,5078000,SCOM
7/1/2024,17.3,17.8,17.3,17.45,1359700,SCOM
6/28/2024,17,17.6,16.8,17.3,6538000,SCOM
6/27/2024,17.8,17.8,16.95,17.2,3790800,SCOM
6/26/2024,18.05,18.05,17.6,17.85,15357100,SCOM
6/25/2024,18.1,18.5,17.95,18.05,2368100,SCOM
6/24/2024,18.2,18.3,17.95,18.1,2153700,SCOM
6/21/2024,18.55,18.55,18.05,18.15,3081600,SCOM
6/20/2024,18.5,18.8,18.5,18.7,6462600,SCOM
6/19/2024,18.35,18.7,18.05,18.5,4109900,SCOM
6/18/2024,18.2,18.45,18.1,18.3,1250100,SCOM
6/14/2024,18.35,18.35,18.1,18.2,241300,SCOM
6/13/2024,18.1,18.25,18,18.1,7702600,SCOM
6/12/2024,18.15,18.2,18,18.1,8259700,SCOM
6/11/2024,18.15,18.15,18,18.05,9094600,SCOM
6/10/2024,18.35,18.35,18,18.1,270300,SCOM
6/7/2024,18.35,18.35,18.25,18.35,3250900,SCOM
6/6/2024,18.05,18.7,18,18.35,4895200,SCOM
6/5/2024,18.05,18.2,18,18.05,5474800,SCOM
6/4/2024,18,18.15,18,18,3279500,SCOM
6/3/2024,18.2,18.5,17.95,18,6821200,SCOM
5/31/2024,18.2,18.2,17.85,17.9,12864800,SCOM
5/30/2024,18.35,18.35,18,18.05,11478800,SCOM
5/29/2024,18.75,18.75,18.05,18.35,18215900,SCOM
5/28/2024,17.7,18.7,17.7,18.5,30893801,SCOM
5/27/2024,17.7,18,17.7,17.8,775800,SCOM
5/24/2024,17.9,18,17.5,17.75,8426400,SCOM
5/23/2024,18.7,18.7,17.85,18,13520200,SCOM
5/22/2024,18.5,19.05,18.4,18.9,16527699,SCOM
5/21/2024,18,18.45,18,18.3,5896900,SCOM
5/20/2024,17.5,18.15,17.5,17.95,5743900,SCOM
5/17/2024,17.35,17.8,17.25,17.4,667900,SCOM
5/16/2024,17.3,17.35,17,17.25,526000,SCOM
5/15/2024,17.1,17.35,17,17.25,5723200,SCOM
5/14/2024,17.5,17.75,17.05,17.35,2381100,SCOM
5/13/2024,16.55,17.85,16.55,17.35,1325500,SCOM
5/9/2024,16.5,17.4,16,16.5,2783300,SCOM
5/8/2024,15.8,17,15.75,15.95,7641200,SCOM
5/7/2024,15.8,15.85,15.5,15.65,5009400,SCOM
5/6/2024,15.95,15.95,15.7,15.75,898500,SCOM
5/3/2024,16,16,15.85,15.95,1483800,SCOM
5/2/2024,15.95,16.2,15.9,16,1898700,SCOM
4/30/2024,16,16,15.75,15.95,616000,SCOM
4/29/2024,16.25,16.3,15.75,16,4777400,SCOM
4/26/2024,16.5,16.5,16.2,16.3,1809200,SCOM
4/25/2024,16.3,16.5,16.2,16.35,3116100,SCOM
4/24/2024,16.25,16.8,16.2,16.35,912400,SCOM
4/23/2024,16.1,17,16.05,16.25,5562200,SCOM
4/22/2024,16,16.3,16,16.1,426400,SCOM
4/19/2024,16.5,16.5,15.9,16,11548000,SCOM
4/18/2024,16.8,16.9,16.3,16.35,1278400,SCOM
4/17/2024,16.95,16.95,16,16.75,10621700,SCOM
4/16/2024,17.45,17.5,16.9,16.95,941100,SCOM
4/15/2024,17.05,17.3,17,17.05,5336200,SCOM
4/12/2024,16.5,17.2,16.5,16.95,3761800,SCOM
4/11/2024,16.65,16.75,16.5,16.65,4093000,SCOM
4/9/2024,17,17,16.3,16.65,8563600,SCOM
4/8/2024,17.5,17.5,16.5,16.8,6289300,SCOM
4/5/2024,17.7,18.05,17,17.55,5390900,SCOM
4/4/2024,17.5,17.85,17.5,17.7,6958200,SCOM
4/3/2024,17.5,18,17.5,18,16829500,SCOM
4/2/2024,17.4,18.2,16.5,17.55,7807300,SCOM
3/28/2024,19,19.5,17.4,17.75,13614000,SCOM
3/27/2024,20.5,21.15,18.15,19.3,7005400,SCOM
3/26/2024,18.3,19.35,18,19.25,5313500,SCOM
3/25/2024,16.8,18.15,16.8,17.6,104525297,SCOM
3/22/2024,16.75,17.2,16.3,16.75,20780000,SCOM
3/21/2024,15.7,16.85,15.7,16.15,6160500,SCOM
3/20/2024,14.9,15.85,14.9,15.4,5257500,SCOM
3/19/2024,14.7,15,14.55,14.8,3772800,SCOM
3/18/2024,15,15.4,14.3,14.6,9307800,SCOM
3/15/2024,15.5,15.85,14.85,15.2,2631200,SCOM
3/14/2024,14.7,15.2,14.6,15,42418699,SCOM
3/13/2024,14.65,14.65,14.5,14.6,37153102,SCOM
3/12/2024,14.2,14.7,14.2,14.5,23289699,SCOM
3/11/2024,14.05,14.25,14,14.15,1723000,SCOM
3/8/2024,13.9,14.1,13.8,13.9,10298300,SCOM
3/7/2024,13.9,13.9,13.75,13.9,1017300,SCOM
3/6/2024,13.6,13.9,13.6,13.75,1544400,SCOM
3/5/2024,13.6,13.8,13.5,13.5,10095000,SCOM
3/4/2024,13.8,14.8,13.4,13.5,2195300,SCOM
3/1/2024,13.35,13.9,13.3,13.5,11252100,SCOM
2/29/2024,13.45,13.45,13.15,13.25,5538200,SCOM
2/28/2024,13.6,13.6,13.3,13.5,13609500,SCOM
2/27/2024,13.8,13.8,13.5,13.65,5063800,SCOM
2/26/2024,13.35,14,13.35,13.75,2030600,SCOM
2/23/2024,13.7,13.7,13.35,13.4,1801500,SCOM
2/22/2024,13.4,13.5,13.3,13.4,19041801,SCOM
2/21/2024,13.5,13.9,13,13.4,4540900,SCOM
2/20/2024,13.6,13.6,13.35,13.5,494000,SCOM
2/19/2024,13.2,13.5,13.1,13.4,480600,SCOM
2/16/2024,13.4,13.5,12.95,13.1,11761400,SCOM
2/15/2024,13.15,13.45,13,13.05,14330200,SCOM
2/14/2024,13.2,13.35,12.95,13,1334300,SCOM
2/13/2024,13,13.3,13,13.2,22076600,SCOM
2/12/2024,13.2,13.45,13,13.2,242400,SCOM
2/9/2024,13.2,13.2,12.95,13.05,4896800,SCOM
2/8/2024,13.4,13.4,13,13.2,1845800,SCOM
2/7/2024,13.45,13.45,13,13.15,1425100,SCOM
2/6/2024,13.45,13.5,13.4,13.45,7787100,SCOM
2/5/2024,13.5,13.5,13.35,13.45,7576000,SCOM
2/2/2024,13.7,13.75,13.4,13.5,6246000,SCOM
2/1/2024,13.9,13.9,13.35,13.5,4667900,SCOM
1/31/2024,13.75,13.9,13.5,13.6,3222700,SCOM
