"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","128.850","128.850","128.850","128.850","","0.00%"
"12/31/2024","128.850","129.000","129.425","129.000","","-0.12%"
"12/30/2024","129.000","129.000","129.425","129.000","","0.00%"
"12/27/2024","129.000","129.250","129.500","129.000","","0.00%"
"12/26/2024","129.000","129.000","129.000","129.000","","0.00%"
"12/25/2024","129.000","129.000","129.000","129.000","","0.00%"
"12/24/2024","129.000","129.000","129.425","128.975","","0.00%"
"12/23/2024","129.000","129.250","129.425","129.000","","0.00%"
"12/20/2024","129.000","129.250","129.500","128.925","","0.00%"
"12/19/2024","129.000","129.000","129.250","128.875","","0.00%"
"12/18/2024","129.000","129.250","129.500","128.750","","0.00%"
"12/17/2024","129.000","129.250","129.425","129.000","","0.00%"
"12/16/2024","129.000","129.250","129.425","129.175","","0.00%"
"12/13/2024","129.000","129.500","129.500","129.125","","0.00%"
"12/12/2024","129.000","129.000","129.000","129.000","","0.00%"
"12/11/2024","129.000","129.250","129.500","129.175","","0.00%"
"12/10/2024","129.000","129.250","129.625","129.125","","0.00%"
"12/09/2024","129.000","129.250","129.625","128.975","","0.00%"
"12/06/2024","129.000","129.650","129.775","129.125","","0.00%"
"12/05/2024","129.000","129.500","129.500","129.175","","0.00%"
"12/04/2024","129.000","129.750","129.750","128.975","","-0.19%"
"12/03/2024","129.250","129.750","129.950","129.375","","-0.19%"
"12/02/2024","129.500","129.750","129.950","129.375","","0.00%"
"11/29/2024","129.500","129.500","129.825","129.375","","0.04%"
"11/28/2024","129.450","129.500","130.075","129.425","","0.35%"
"11/27/2024","129.000","129.500","129.825","129.250","","0.00%"
"11/26/2024","129.000","129.000","129.750","129.000","","0.00%"
"11/25/2024","129.000","129.500","129.775","129.225","","0.00%"
"11/22/2024","129.000","129.500","129.700","129.200","","0.00%"
"11/21/2024","129.000","129.550","129.700","129.050","","0.00%"
"11/20/2024","129.000","129.500","129.600","129.100","","0.19%"
"11/19/2024","128.750","129.450","129.650","129.000","","0.00%"
"11/18/2024","128.750","129.450","129.650","128.900","","-0.19%"
"11/15/2024","129.000","129.250","129.650","128.975","","0.19%"
"11/14/2024","128.750","129.000","129.650","128.750","","0.00%"
"11/13/2024","128.750","129.000","129.450","128.900","","0.19%"
"11/12/2024","128.500","129.000","129.375","128.900","","0.00%"
"11/11/2024","128.500","129.000","129.250","128.900","","0.00%"
"11/08/2024","128.500","129.000","129.025","129.000","","0.00%"
"11/07/2024","128.500","129.000","129.000","129.000","","0.00%"
"11/06/2024","128.500","129.000","129.000","129.000","","0.00%"
"11/05/2024","128.500","129.000","129.025","129.000","","0.00%"
"11/04/2024","128.500","129.000","129.000","129.000","","0.00%"
"11/01/2024","128.500","128.500","128.500","128.500","","0.00%"
"10/31/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/30/2024","128.500","129.000","129.275","128.875","","-0.43%"
"10/29/2024","129.050","129.000","129.275","128.875","","0.43%"
"10/28/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/25/2024","128.500","129.000","129.250","128.850","","0.00%"
"10/24/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/23/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/22/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/21/2024","128.500","128.500","128.500","128.500","","0.00%"
"10/18/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/17/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/16/2024","128.500","129.000","129.025","129.000","","0.00%"
"10/15/2024","128.500","129.000","129.200","128.500","","0.00%"
"10/14/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/11/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/10/2024","128.500","128.500","128.500","128.500","","0.00%"
"10/09/2024","128.500","129.000","129.250","129.000","","0.00%"
"10/08/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/07/2024","128.500","129.000","129.000","128.700","","0.00%"
"10/04/2024","128.500","129.000","129.000","128.750","","0.00%"
"10/03/2024","128.500","129.000","129.175","128.750","","0.00%"
"10/02/2024","128.500","129.000","129.000","129.000","","0.00%"
"10/01/2024","128.500","129.000","129.000","129.000","","0.00%"
"09/30/2024","128.500","129.000","129.000","129.000","","0.00%"
"09/27/2024","128.500","129.000","129.000","128.750","","0.00%"
"09/26/2024","128.500","129.000","129.000","128.750","","0.00%"
"09/25/2024","128.500","129.000","129.000","128.750","","0.00%"
"09/24/2024","128.500","129.000","129.000","128.750","","0.00%"
"09/23/2024","128.500","129.000","129.000","128.875","","0.00%"
"09/20/2024","128.500","129.000","129.000","128.875","","0.00%"
"09/19/2024","128.500","129.000","129.000","129.000","","0.00%"
"09/18/2024","128.500","129.250","129.400","128.875","","0.00%"
"09/17/2024","128.500","129.000","129.250","129.000","","0.00%"
"09/16/2024","128.500","129.000","129.250","128.750","","0.00%"
"09/13/2024","128.500","129.000","129.000","128.750","","0.16%"
"09/12/2024","128.300","128.900","129.000","128.750","","-0.16%"
"09/11/2024","128.500","128.750","129.000","128.750","","0.00%"
"09/10/2024","128.500","129.000","129.250","128.750","","0.19%"
"09/09/2024","128.250","128.750","129.000","128.750","","0.00%"
"09/06/2024","128.250","128.750","129.000","128.750","","0.00%"
"09/05/2024","128.250","129.000","129.000","128.750","","0.00%"
"09/04/2024","128.250","128.750","129.000","128.750","","-0.19%"
"09/03/2024","128.500","128.750","129.000","128.750","","0.19%"
"09/02/2024","128.250","128.750","129.000","128.500","","0.00%"
"08/30/2024","128.250","128.750","129.000","128.500","","0.00%"
"08/29/2024","128.250","128.750","129.000","128.750","","0.00%"
"08/28/2024","128.250","128.800","129.000","128.750","","-0.19%"
"08/27/2024","128.500","129.000","129.000","128.750","","0.19%"
"08/26/2024","128.250","128.750","129.000","128.750","","-0.19%"
"08/23/2024","128.500","129.000","129.000","128.750","","0.00%"
"08/22/2024","128.500","129.000","129.250","128.750","","0.00%"
"08/21/2024","128.500","129.000","129.000","128.750","","0.00%"
"08/20/2024","128.500","129.000","129.000","128.750","","0.00%"
"08/19/2024","128.500","129.000","129.500","128.750","","0.00%"
"08/16/2024","128.500","129.000","129.000","128.750","","0.00%"
"08/15/2024","128.500","129.000","129.000","129.000","","0.00%"
"08/14/2024","128.500","128.750","129.250","128.750","","0.00%"
"08/13/2024","128.500","129.000","129.250","128.750","","0.00%"
"08/12/2024","128.500","129.250","129.500","128.750","","-0.19%"
"08/09/2024","128.750","129.250","129.500","129.000","","0.00%"
"08/08/2024","128.750","129.000","129.500","128.750","","0.19%"
"08/07/2024","128.500","130.000","130.000","128.750","","-0.39%"
"08/06/2024","129.000","129.750","130.500","129.500","","-0.19%"
"08/05/2024","129.250","130.000","130.250","129.500","","-0.19%"
"08/02/2024","129.500","129.500","130.000","129.500","","0.39%"
"08/01/2024","129.000","129.500","130.000","129.000","","0.39%"
"07/31/2024","128.500","130.000","130.000","128.750","","-0.77%"
"07/30/2024","129.500","131.000","131.250","129.500","","-0.38%"
"07/29/2024","130.000","131.500","131.500","130.250","","-0.57%"
"07/26/2024","130.750","133.000","133.000","130.750","","-1.32%"
