Date, Open, High, Low, Close, Volume,Name
12/31/2024,45.5,45.5,45.5,45.5,4227640,ZENITHBANK
12/30/2024,45.95,45.95,45.95,45.95,19639381,ZENITHBANK
12/27/2024,45.95,45.95,45.95,45.95,33262520,ZENITHBANK
12/24/2024,46,46,46,46,15117070,ZENITHBANK
12/23/2024,46,46,46,46,34645160,ZENITHBANK
12/20/2024,45.85,45.85,45.85,45.85,60410008,ZENITHBANK
12/19/2024,44.8,44.8,44.8,44.8,9711583,ZENITHBANK
12/18/2024,44.7,44.7,44.7,44.7,15983400,ZENITHBANK
12/17/2024,44,44,44,44,13944350,ZENITHBANK
12/16/2024,44.3,44.3,44.3,44.3,12926280,ZENITHBANK
12/13/2024,44,44,44,44,14165990,ZENITHBANK
12/12/2024,43.75,43.75,43.75,43.75,4631575,ZENITHBANK
12/11/2024,44.1,44.1,44.1,44.1,21217480,ZENITHBANK
12/10/2024,44,44,44,44,12191430,ZENITHBANK
12/9/2024,44.35,44.35,44.35,44.35,11839270,ZENITHBANK
12/6/2024,43.95,43.95,43.95,43.95,4181793,ZENITHBANK
12/5/2024,44,44,44,44,17265340,ZENITHBANK
12/4/2024,44.75,44.75,44.75,44.75,9186560,ZENITHBANK
12/3/2024,45,45,45,45,10630510,ZENITHBANK
12/2/2024,44.7,44.7,44.7,44.7,17783980,ZENITHBANK
11/29/2024,44.5,44.5,44.5,44.5,5067652,ZENITHBANK
11/28/2024,44,44,44,44,14733830,ZENITHBANK
11/27/2024,43.5,43.5,43.5,43.5,3727612,ZENITHBANK
11/26/2024,43.5,43.5,43.5,43.5,3580272,ZENITHBANK
11/25/2024,43.1,43.1,43.1,43.1,9629506,ZENITHBANK
11/22/2024,44.3,44.3,44.3,44.3,10296230,ZENITHBANK
11/21/2024,44.5,44.5,44.5,44.5,22321311,ZENITHBANK
11/20/2024,44.9,44.9,44.9,44.9,14047260,ZENITHBANK
11/19/2024,44,44,44,44,6993142,ZENITHBANK
11/18/2024,43.5,43.5,43.5,43.5,9731766,ZENITHBANK
11/15/2024,43.3,43.3,43.3,43.3,30323580,ZENITHBANK
11/14/2024,43,43,43,43,16222890,ZENITHBANK
11/13/2024,43,43,43,43,6530139,ZENITHBANK
11/12/2024,42,42,42,42,13533690,ZENITHBANK
11/11/2024,41.6,41.6,41.6,41.6,9689671,ZENITHBANK
11/8/2024,42,42,42,42,3803926,ZENITHBANK
11/7/2024,43,43,43,43,12320730,ZENITHBANK
11/6/2024,42.65,42.65,42.65,42.65,20619859,ZENITHBANK
11/5/2024,43,43,43,43,46355230,ZENITHBANK
11/4/2024,40.65,40.65,40.65,40.65,15820300,ZENITHBANK
11/1/2024,41.25,41.25,41.25,41.25,40713719,ZENITHBANK
10/31/2024,39.95,39.95,39.95,39.95,11028210,ZENITHBANK
10/30/2024,39.5,39.5,39.5,39.5,23075939,ZENITHBANK
10/29/2024,39,39,39,39,22855211,ZENITHBANK
10/28/2024,39.9,39.9,39.9,39.9,7067138,ZENITHBANK
10/25/2024,39.9,39.9,39.9,39.9,18828881,ZENITHBANK
10/24/2024,40,40,40,40,25033551,ZENITHBANK
10/23/2024,39.3,39.3,39.3,39.3,16107750,ZENITHBANK
10/22/2024,37.55,37.55,37.55,37.55,11825170,ZENITHBANK
10/21/2024,37.5,37.5,37.5,37.5,14771330,ZENITHBANK
10/18/2024,37.45,37.45,37.45,37.45,27915350,ZENITHBANK
10/17/2024,37.5,37.5,37.5,37.5,20054090,ZENITHBANK
10/16/2024,37.45,37.45,37.45,37.45,11593480,ZENITHBANK
10/15/2024,37.5,37.5,37.5,37.5,30379010,ZENITHBANK
10/14/2024,37.5,37.5,37.5,37.5,34086191,ZENITHBANK
10/11/2024,37.45,37.45,37.45,37.45,19733051,ZENITHBANK
10/10/2024,37.5,37.5,37.5,37.5,25552270,ZENITHBANK
10/9/2024,37.35,37.35,37.35,37.35,11170520,ZENITHBANK
10/8/2024,37.4,37.4,37.4,37.4,7075819,ZENITHBANK
10/7/2024,37.5,37.5,37.5,37.5,9844028,ZENITHBANK
10/4/2024,37.5,37.5,37.5,37.5,12909800,ZENITHBANK
10/3/2024,37.7,37.7,37.7,37.7,19013141,ZENITHBANK
10/2/2024,37.75,37.75,37.75,37.75,35172641,ZENITHBANK
9/30/2024,37.75,37.75,37.75,37.75,21760340,ZENITHBANK
9/27/2024,37.7,37.7,37.7,37.7,11745970,ZENITHBANK
9/26/2024,37.75,37.75,37.75,37.75,14809370,ZENITHBANK
9/25/2024,37.7,37.7,37.7,37.7,21050449,ZENITHBANK
9/24/2024,37.6,37.6,37.6,37.6,18610650,ZENITHBANK
9/23/2024,37.5,37.5,37.5,37.5,8935501,ZENITHBANK
9/20/2024,37.9,37.9,37.9,37.9,14372670,ZENITHBANK
9/19/2024,37,37,37,37,12059070,ZENITHBANK
9/18/2024,36.7,36.7,36.7,36.7,16922971,ZENITHBANK
9/17/2024,36.7,36.7,36.7,36.7,12831860,ZENITHBANK
9/13/2024,38,38,38,38,28620580,ZENITHBANK
9/12/2024,37,37,37,37,19274920,ZENITHBANK
9/11/2024,37,37,37,37,18988609,ZENITHBANK
9/10/2024,37,37,37,37,14882890,ZENITHBANK
9/9/2024,37,37,37,37,173485109,ZENITHBANK
9/6/2024,37.5,37.5,37.5,37.5,34618320,ZENITHBANK
9/5/2024,37,37,37,37,56564434,ZENITHBANK
9/4/2024,37.4,37.4,37.4,37.4,10894390,ZENITHBANK
9/3/2024,38.3,38.3,38.3,38.3,7876579,ZENITHBANK
9/2/2024,39,39,39,39,39982602,ZENITHBANK
8/30/2024,38.25,38.25,38.25,38.25,11422850,ZENITHBANK
8/29/2024,38.35,38.35,38.35,38.35,13497840,ZENITHBANK
8/28/2024,38.4,38.4,38.4,38.4,9240822,ZENITHBANK
8/27/2024,38,38,38,38,11549700,ZENITHBANK
8/26/2024,37.95,37.95,37.95,37.95,13301100,ZENITHBANK
8/23/2024,37.9,37.9,37.9,37.9,8046126,ZENITHBANK
8/22/2024,37.9,37.9,37.9,37.9,3735356,ZENITHBANK
8/21/2024,38,38,38,38,7825196,ZENITHBANK
8/20/2024,38,38,38,38,11661010,ZENITHBANK
8/19/2024,38,38,38,38,14124210,ZENITHBANK
8/16/2024,38,38,38,38,16710061,ZENITHBANK
8/15/2024,37.85,37.85,37.85,37.85,9953454,ZENITHBANK
8/14/2024,37,37,37,37,7425548,ZENITHBANK
8/13/2024,37,37,37,37,4632865,ZENITHBANK
8/12/2024,38.55,38.55,38.55,38.55,27098711,ZENITHBANK
8/9/2024,38.85,38.85,38.85,38.85,31953881,ZENITHBANK
8/8/2024,38,38,38,38,28125250,ZENITHBANK
8/7/2024,37,37,37,37,35923301,ZENITHBANK
8/6/2024,36.5,36.5,36.5,36.5,21884461,ZENITHBANK
8/5/2024,36,36,36,36,36992848,ZENITHBANK
8/2/2024,36,36,36,36,13758320,ZENITHBANK
8/1/2024,35,35,35,35,19242119,ZENITHBANK
7/31/2024,33.1,33.1,33.1,33.1,83889922,ZENITHBANK
7/30/2024,33.85,33.85,33.85,33.85,44237160,ZENITHBANK
7/29/2024,34.55,34.55,34.55,34.55,15353550,ZENITHBANK
7/26/2024,35.85,35.85,35.85,35.85,16586400,ZENITHBANK
7/25/2024,35.95,35.95,35.95,35.95,40593031,ZENITHBANK
7/24/2024,36.77,36.77,36.77,36.77,60270943.59,ZENITHBANK
7/23/2024,36.77,36.77,36.77,36.77,10165820.86,ZENITHBANK
7/22/2024,37.37,37.37,37.37,37.37,10210958.13,ZENITHBANK
7/19/2024,36.87,36.87,36.87,36.87,29990695.85,ZENITHBANK
7/18/2024,37.07,37.07,37.07,37.07,17933023.19,ZENITHBANK
7/17/2024,39.86,39.86,39.86,39.86,78023797.02,ZENITHBANK
7/16/2024,39.86,39.86,39.86,39.86,57621329.52,ZENITHBANK
7/15/2024,38.86,38.86,38.86,38.86,15756781.5,ZENITHBANK
7/12/2024,36.92,36.92,36.92,36.92,4984026.89,ZENITHBANK
7/11/2024,36.97,36.97,36.97,36.97,11897765.49,ZENITHBANK
7/10/2024,36.92,36.92,36.92,36.92,36474294.71,ZENITHBANK
7/9/2024,37.37,37.37,37.37,37.37,17600707.3,ZENITHBANK
7/8/2024,37.52,37.52,37.52,37.52,12399864.96,ZENITHBANK
7/5/2024,37.37,37.37,37.37,37.37,16488862.29,ZENITHBANK
7/4/2024,37.32,37.32,37.32,37.32,24099932.61,ZENITHBANK
7/3/2024,35.73,35.73,35.73,35.73,6859388.228,ZENITHBANK
7/2/2024,35.58,35.58,35.58,35.58,9096358.524,ZENITHBANK
7/1/2024,34.68,34.68,34.68,34.68,6833868.309,ZENITHBANK
6/28/2024,35.58,35.58,35.58,35.58,7663245.114,ZENITHBANK
6/27/2024,35.38,35.38,35.38,35.38,5300697.267,ZENITHBANK
6/26/2024,35.58,35.58,35.58,35.58,6791375.25,ZENITHBANK
6/25/2024,35.08,35.08,35.08,35.08,6616273.14,ZENITHBANK
6/24/2024,35.73,35.73,35.73,35.73,12606133.66,ZENITHBANK
6/21/2024,35.77,35.77,35.77,35.77,15807076.74,ZENITHBANK
6/20/2024,35.82,35.82,35.82,35.82,12561327.55,ZENITHBANK
6/19/2024,35.87,35.87,35.87,35.87,15322367.86,ZENITHBANK
6/14/2024,35.87,35.87,35.87,35.87,28131348.31,ZENITHBANK
6/13/2024,35.87,35.87,35.87,35.87,71469992.54,ZENITHBANK
6/11/2024,34.88,34.88,34.88,34.88,74537226.73,ZENITHBANK
6/10/2024,34.68,34.68,34.68,34.68,16135320.44,ZENITHBANK
6/7/2024,33.13,33.13,33.13,33.13,43392454.72,ZENITHBANK
6/6/2024,32.89,32.89,32.89,32.89,6758612.093,ZENITHBANK
6/5/2024,32.79,32.79,32.79,32.79,6067618.458,ZENITHBANK
6/4/2024,31.89,31.89,31.89,31.89,6144008.625,ZENITHBANK
6/3/2024,32.89,32.89,32.89,32.89,7137988.959,ZENITHBANK
5/31/2024,32.89,32.89,32.89,32.89,111518565.1,ZENITHBANK
5/30/2024,32.89,32.89,32.89,32.89,39364486.03,ZENITHBANK
5/29/2024,32.39,32.39,32.39,32.39,13705915.65,ZENITHBANK
5/28/2024,31.29,31.29,31.29,31.29,13879279.7,ZENITHBANK
5/27/2024,30.64,30.64,30.64,30.64,8849292.67,ZENITHBANK
5/24/2024,29.9,29.9,29.9,29.9,24570942.76,ZENITHBANK
5/23/2024,30.74,30.74,30.74,30.74,29043697.22,ZENITHBANK
5/22/2024,30.89,30.89,30.89,30.89,35481139.25,ZENITHBANK
5/21/2024,32.39,32.39,32.39,32.39,7725140.778,ZENITHBANK
5/20/2024,31.69,31.69,31.69,31.69,15316838.6,ZENITHBANK
